name,type,value,date
阿鲁巴,ABW,0,1960
阿鲁巴,ABW,0,1961
阿鲁巴,ABW,0,1962
阿鲁巴,ABW,0,1963
阿鲁巴,ABW,0,1964
阿鲁巴,ABW,0,1965
阿鲁巴,ABW,0,1966
阿鲁巴,ABW,0,1967
阿鲁巴,ABW,0,1968
阿鲁巴,ABW,0,1969
阿鲁巴,ABW,0,1970
阿鲁巴,ABW,0,1971
阿鲁巴,ABW,0,1972
阿鲁巴,ABW,0,1973
阿鲁巴,ABW,0,1974
阿鲁巴,ABW,0,1975
阿鲁巴,ABW,0,1976
阿鲁巴,ABW,0,1977
阿鲁巴,ABW,0,1978
阿鲁巴,ABW,0,1979
阿鲁巴,ABW,0,1980
阿鲁巴,ABW,0,1981
阿鲁巴,ABW,0,1982
阿鲁巴,ABW,0,1983
阿鲁巴,ABW,0,1984
阿鲁巴,ABW,0,1985
阿鲁巴,ABW,405463417.1,1986
阿鲁巴,ABW,487602457.7,1987
阿鲁巴,ABW,596423607.1,1988
阿鲁巴,ABW,695304363,1989
阿鲁巴,ABW,764887117.2,1990
阿鲁巴,ABW,872138730.8,1991
阿鲁巴,ABW,958463200.2,1992
阿鲁巴,ABW,1082979708,1993
阿鲁巴,ABW,1245688253,1994
阿鲁巴,ABW,1320474860,1995
阿鲁巴,ABW,1379960894,1996
阿鲁巴,ABW,1531944134,1997
阿鲁巴,ABW,1665100559,1998
阿鲁巴,ABW,1722798883,1999
阿鲁巴,ABW,1873452514,2000
阿鲁巴,ABW,1920111732,2001
阿鲁巴,ABW,1941340782,2002
阿鲁巴,ABW,2021229050,2003
阿鲁巴,ABW,2228491620,2004
阿鲁巴,ABW,2330726257,2005
阿鲁巴,ABW,2424581006,2006
阿鲁巴,ABW,2615083799,2007
阿鲁巴,ABW,2745251397,2008
阿鲁巴,ABW,2498882682,2009
阿鲁巴,ABW,2390502793,2010
阿鲁巴,ABW,2549720670,2011
阿鲁巴,ABW,2534636872,2012
阿鲁巴,ABW,2581564246,2013
阿鲁巴,ABW,2649720670,2014
阿鲁巴,ABW,2691620112,2015
阿鲁巴,ABW,2646927374,2016
阿鲁巴,ABW,2700558659,2017
阿鲁巴,ABW,0,2018
阿鲁巴,ABW,0,2019
阿富汗,AFG,537777811.1,1960
阿富汗,AFG,548888895.6,1961
阿富汗,AFG,546666677.8,1962
阿富汗,AFG,751111191.1,1963
阿富汗,AFG,800000044.4,1964
阿富汗,AFG,1006666638,1965
阿富汗,AFG,1399999967,1966
阿富汗,AFG,1673333418,1967
阿富汗,AFG,1373333367,1968
阿富汗,AFG,1408888922,1969
阿富汗,AFG,1748886596,1970
阿富汗,AFG,1831108971,1971
阿富汗,AFG,1595555476,1972
阿富汗,AFG,1733333264,1973
阿富汗,AFG,2155555498,1974
阿富汗,AFG,2366666616,1975
阿富汗,AFG,2555555567,1976
阿富汗,AFG,2953333418,1977
阿富汗,AFG,3300000109,1978
阿富汗,AFG,3697940410,1979
阿富汗,AFG,3641723322,1980
阿富汗,AFG,3478787909,1981
阿富汗,AFG,0,1982
阿富汗,AFG,0,1983
阿富汗,AFG,0,1984
阿富汗,AFG,0,1985
阿富汗,AFG,0,1986
阿富汗,AFG,0,1987
阿富汗,AFG,0,1988
阿富汗,AFG,0,1989
阿富汗,AFG,0,1990
阿富汗,AFG,0,1991
阿富汗,AFG,0,1992
阿富汗,AFG,0,1993
阿富汗,AFG,0,1994
阿富汗,AFG,0,1995
阿富汗,AFG,0,1996
阿富汗,AFG,0,1997
阿富汗,AFG,0,1998
阿富汗,AFG,0,1999
阿富汗,AFG,0,2000
阿富汗,AFG,0,2001
阿富汗,AFG,4055176933,2002
阿富汗,AFG,4515563414,2003
阿富汗,AFG,5226775163,2004
阿富汗,AFG,6209140044,2005
阿富汗,AFG,6971286732,2006
阿富汗,AFG,9747886105,2007
阿富汗,AFG,10109218068,2008
阿富汗,AFG,12439087077,2009
阿富汗,AFG,15856574731,2010
阿富汗,AFG,17804280538,2011
阿富汗,AFG,20001615789,2012
阿富汗,AFG,20561054090,2013
阿富汗,AFG,20484873230,2014
阿富汗,AFG,19907111419,2015
阿富汗,AFG,19362642267,2016
阿富汗,AFG,20191764940,2017
阿富汗,AFG,19362969582,2018
阿富汗,AFG,0,2019
安哥拉,AGO,0,1960
安哥拉,AGO,0,1961
安哥拉,AGO,0,1962
安哥拉,AGO,0,1963
安哥拉,AGO,0,1964
安哥拉,AGO,0,1965
安哥拉,AGO,0,1966
安哥拉,AGO,0,1967
安哥拉,AGO,0,1968
安哥拉,AGO,0,1969
安哥拉,AGO,0,1970
安哥拉,AGO,0,1971
安哥拉,AGO,0,1972
安哥拉,AGO,0,1973
安哥拉,AGO,0,1974
安哥拉,AGO,0,1975
安哥拉,AGO,0,1976
安哥拉,AGO,0,1977
安哥拉,AGO,0,1978
安哥拉,AGO,0,1979
安哥拉,AGO,5930503401,1980
安哥拉,AGO,5550483036,1981
安哥拉,AGO,5550483036,1982
安哥拉,AGO,5784341596,1983
安哥拉,AGO,6131475065,1984
安哥拉,AGO,7553560459,1985
安哥拉,AGO,7072063345,1986
安哥拉,AGO,8083872012,1987
安哥拉,AGO,8769250550,1988
安哥拉,AGO,10201099040,1989
安哥拉,AGO,11228764963,1990
安哥拉,AGO,10603784541,1991
安哥拉,AGO,8307810974,1992
安哥拉,AGO,5768720422,1993
