Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
阿鲁巴	ABW	GDP单位能源消耗（2011年不变价购买力平价美元/千克石油当量）	EG.GDP.PUSE.KO.PP.KD																																																												
阿富汗	AFG	GDP单位能源消耗（2011年不变价购买力平价美元/千克石油当量）	EG.GDP.PUSE.KO.PP.KD																																																												
安哥拉	AGO	GDP单位能源消耗（2011年不变价购买力平价美元/千克石油当量）	EG.GDP.PUSE.KO.PP.KD																															9.588881645	9.457462355	8.855925648	6.500155242	6.498375938	7.479105561	8.252662237	8.664295747	9.093694671	8.846553905	8.875422995	8.858924728	9.625048815	9.186278503	9.906581976	11.79177379	11.98847535	12.81384729	13.15987363	12.21336524	12.209024	12.16295534	12.03027357	12.61041121	12.50998069					
阿尔巴尼亚	ALB	GDP单位能源消耗（2011年不变价购买力平价美元/千克石油当量）	EG.GDP.PUSE.KO.PP.KD																															5.48197466	5.637836035	7.208911695	8.060219729	8.208527785	9.903190127	10.12371507	10.5673065	10.43145476	8.77596348	9.375757341	9.960973302	9.451009433	10.19452315	9.786011113	10.32000648	11.19605365	12.43034786	12.88038423	13.00718421	13.61527624	13.34401455	15.07430937	13.09406781	13.2363361					
安道尔共和国	AND	GDP单位能源消耗（2011年不变价购买力平价美元/千克石油当量）	EG.GDP.PUSE.KO.PP.KD																																																												
阿拉伯联盟国家	ARB	GDP单位能源消耗（2011年不变价购买力平价美元/千克石油当量）	EG.GDP.PUSE.KO.PP.KD																															10.58523545	9.955122523	9.576838409	9.198674915	8.951048134	9.000544391	9.073657742	9.166209787	9.626475555	9.641113271	9.770516983	9.241890688	8.861633175	9.109598325	9.357520357	9.361244969	9.278319796	9.289239295	9.134066544	8.712321804	8.601160538	8.799654629	8.588347062	8.824870232	8.595632704					
阿拉伯联合酋长国	ARE	GDP单位能源消耗（2011年不变价购买力平价美元/千克石油当量）	EG.GDP.PUSE.KO.PP.KD																															10.05791844	8.821161968	9.577374529	9.221113903	8.895990382	8.931798975	8.950172037	9.16665267	8.990095838	9.059711696	10.2723024	8.167131449	8.434416653	9.327479513	9.579563069	9.447537247	9.995086008	9.502507015	8.28848616	7.770828731	7.673085266	7.867406698	7.732949425	7.942711231	8.221288632					
阿根廷	ARG	GDP单位能源消耗（2011年不变价购买力平价美元/千克石油当量）	EG.GDP.PUSE.KO.PP.KD																															8.053381639	8.525893175	8.750672671	9.44132273	9.393206973	8.99632255	9.155652562	9.591174798	9.631059104	9.148310734	8.969789414	9.013693046	8.263847285	8.405801252	8.389454263	9.077520755	9.01537725	9.701763926	9.58685497	9.275885109	9.805719068	10.1521169	10.01253323	9.983497187	9.327942057					
亚美尼亚	ARM	GDP单位能源消耗（2011年不变价购买力平价美元/千克石油当量）	EG.GDP.PUSE.KO.PP.KD																															1.717859088	1.439050401	1.647416734	2.830510731	4.744910032	4.251715148	4.156304887	4.108003346	4.327809138	4.623816342	4.456353351	4.903785228	5.933086667	6.408099038	6.695205242	6.356487724	7.065260236	7.207736327	7.317201606	7.230357418	7.76666017	7.435876649	7.286928214	7.709672133	7.829626859					
美属萨摩亚	ASM	GDP单位能源消耗（2011年不变价购买力平价美元/千克石油当量）	EG.GDP.PUSE.KO.PP.KD																																																												
