Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
阿鲁巴	ABW	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																												
阿富汗	AFG	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																												
安哥拉	AGO	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																				47.48423								
阿尔巴尼亚	ALB	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																	156.1011											
安道尔共和国	AND	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																												
阿拉伯联盟国家	ARB	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																												
阿拉伯联合酋长国	ARE	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																								2003.97267	2406.57322			
阿根廷	ARG	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																						692.19237	701.37651	709.55991	712.94702	684.68019	688.39888	714.36814	760.9603	814.09127	885.76803	967.74539	1028.24526	1032.7503	1120.67993	1176.96839	1199.36089	1193.80827	1202.02836	1219.99601	1232.60086			
亚美尼亚	ARM	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																												
美属萨摩亚	ASM	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																												
安提瓜和巴布达	ATG	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																												
澳大利亚	AUS	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																					3340.72966		3368.03367		3461.76252		3757.24171		4070.06988		4238.48887		4341.04863		4539.4941									
奥地利	AUT	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																							2327.40749				2965.68455		3158.79469	3449.33454	3524.39758	3810.92721	4138.4535	4141.40294	4349.71722	4387.04452	4661.04799	4712.8267	4937.55516	5019.44022	5157.51761			
阿塞拜疆	AZE	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																												
布隆迪	BDI	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																												
比利时	BEL	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																					2461.70357	2568.80419	2695.24276	2899.1808	2970.19422	3123.98921	2958.84489	2967.37	3091.60518	3142.7299	3284.40227	3394.93402	3411.62128	3519.74155	3732.83127	3875.91495	4113.93461	4156.83541	4529.75049	4711.04559	4778.85093	4941.98263		
贝宁	BEN	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																												
布基纳法索	BFA	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																			47.57672									
孟加拉国	BGD	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																												
保加利亚	BGR	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																					1778.97102	1458.8894	1471.20195	1311.53507	1185.20286	1162.21506	1172.5018	1228.74759	1269.10306	1308.34332	1355.54827	1480.51745	1515.77873	1605.14376	1482.72896	1617.95206	1545.74665	1689.34239	1827.85031	1983.44915	2243.70938	2130.54538		
巴林	BHR	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																							368.90235					
巴哈马	BHS	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																												
波斯尼亚和黑塞哥维那	BIH	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																												61.31592	63.14094	66.85469	177.57076	197.44833					158.24242	229.81976	285.5018	354.21771	404.39989	463.89852		
白俄罗斯	BLR	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																												
伯利兹	BLZ	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																												
百慕大	BMU	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																												
玻利维亚	BOL	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																							73.50876	73.32532	71.94666	123.58212	120.18474							145.71541	165.95431									
巴西	BRA	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																									421.45027	438.40622	456.46702	493.29757	542.59411	518.61956	540.81104	552.52504	587.80998	622.28061	682.35033	733.36569	783.4824	832.78563	881.37818					
巴巴多斯	BRB	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																												
文莱达鲁萨兰国	BRN	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																											285.41199	277.3148	283.4311															
不丹	BTN	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																												
博茨瓦纳	BWA	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																					168.33268	179.46852						
中非共和国	CAF	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																												
加拿大	CAN	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																					3054.8105	3116.05968	3155.06585	3239.25841	3510.56731	3690.92632	3702.32148	3896.25509	4080.82564	4233.77368	4308.71248	4582.98945	4705.94603	4445.71623	4643.43533	4780.15597	4630.27896	4628.49834	4549.45197	4532.77661	4274.69719			
中歐和波羅的海	CEB	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																					1405.609484	1394.047462	1403.894411	1379.020069	1371.457739	1386.128949	1407.393375	1420.134239	1489.424107	1608.686776	1615.21413	1678.940354	1744.445629	1761.804322	1834.1186	1849.960772	1922.056049	1997.87568	2104.209708	2143.972413	2237.829269	2385.155746		
瑞士	CHE	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																					3130.49971				3642.26168				3457.07719				3288.16746				4455.48684			5257.35751				
海峡群岛	CHI	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																												
智利	CHL	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																336.59025	357.64589	288.72021	320.12515	354.35629	392.72731	337.4509	430.64193	460.25299	502.10193			
中国	CHN	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																					438.40651	467.56846	383.05515	416.41619	541.66346	575.3384	624.13055	659.93954	704.90619	846.45741	920.66508	1064.76695	1184.47037	852.25811	890.48447	963.87936	1020.9558	1073.21882	1096.51745	1158.9081	1205.68248	1234.7788		
科特迪瓦	CIV	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																														69.20697														
喀麦隆	CMR	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																												
刚果（金）	COD	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																								10.57134				
刚果（布）	COG	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																					49.31888	48.10175	39.44624	35.15239	31.54328																			
哥伦比亚	COL	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																						56.33359	57.29003	68.52767	88.48299			
科摩罗	COM	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																												
佛得角	CPV	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																										101.41622	132.71224									49.20611								
哥斯达黎加	CRI	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																												132.81722	109.62403	124.01594			263.00889	342.00313	384.57477	409.08828	339.69887	357.81056	572.98098	499.39141	529.92687			
加勒比小国	CSS	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																												
古巴	CUB	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																												
库拉索	CUW	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																												
开曼群岛	CYM	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																												
塞浦路斯	CYP	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																							345.60424	402.60856	434.37809	471.97958	609.48271	677.83199	795.28883	916.65065	986.91676	1029.19752	1011.38118	1065.75189	1077.70041	1063.79153	1017.46435	1036.13054	1064.92501	1009.05438	1050.53568	1174.44772		
捷克共和国	CZE	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																					1252.3948	1216.8	1217.22426	1313.23045	1346.21444	1459.12787	1460.53051	1543.95667	1591.83649	2356.07861	2550.64784	2691.79679	2857.42571	2742.41767	2774.02104	2903.05766	3137.61563	3234.80725	3400.44455	3591.27251	3518.7929	3689.9158		
德国	DEU	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																					2826.96003	2893.1704	2916.73914	3125.74817	3164.57354	3242.56148	3257.02629	3292.36797	3306.77135	3332.23813	3431.69964	3575.57246	3730.27661	3919.03172	4054.6057	4184.75334	4347.29737	4361.81367	4318.62153	4748.40899	4878.308	5036.17985		
吉布提	DJI	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																												
多米尼克	DMA	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																												
丹麦	DNK	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																					3177.82015	3317.91566		3559.90315		3630.60375	4754.85692	4618.92274	4843.25403	5197.44741	5298.43361	5516.31942	6493.81743	6656.89909	6739.18115	7018.07116	7143.59808	7071.54915	7311.02202	7528.26439	7845.94187	7896.85136		
多米尼加共和国	DOM	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																																												
阿尔及利亚	DZA	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																														168.0163												820.75157		
东亚与太平洋地区（不包括高收入）	EAP	R&D研究人员 （每百万人）	SP.POP.SCIE.RD.P6																																					417.1187444	434.0629692	366.1151205	391.2630318	491.087979	496.3806381	535.5022586	608.8015117	701.0619813	777.0359941	909.8910443	971.5781537	1172.75316	691.6315632	902.3996176	903.2432566	1037.040013	984.6626789	1109.378387	1127.833079	1066.974797	1021.014937		
