name,value,date
阿鲁巴,54211,1960
阿鲁巴,55438,1961
阿鲁巴,56225,1962
阿鲁巴,56695,1963
阿鲁巴,57032,1964
阿鲁巴,57360,1965
阿鲁巴,57715,1966
阿鲁巴,58055,1967
阿鲁巴,58386,1968
阿鲁巴,58726,1969
阿鲁巴,59063,1970
阿鲁巴,59440,1971
阿鲁巴,59840,1972
阿鲁巴,60243,1973
阿鲁巴,60528,1974
阿鲁巴,60657,1975
阿鲁巴,60586,1976
阿鲁巴,60366,1977
阿鲁巴,60103,1978
阿鲁巴,59980,1979
阿鲁巴,60096,1980
阿鲁巴,60567,1981
阿鲁巴,61345,1982
阿鲁巴,62201,1983
阿鲁巴,62836,1984
阿鲁巴,63026,1985
阿鲁巴,62644,1986
阿鲁巴,61833,1987
阿鲁巴,61079,1988
阿鲁巴,61032,1989
阿鲁巴,62149,1990
阿鲁巴,64622,1991
阿鲁巴,68235,1992
阿鲁巴,72504,1993
阿鲁巴,76700,1994
阿鲁巴,80324,1995
阿鲁巴,83200,1996
阿鲁巴,85451,1997
阿鲁巴,87277,1998
阿鲁巴,89005,1999
阿鲁巴,90853,2000
阿鲁巴,92898,2001
阿鲁巴,94992,2002
阿鲁巴,97017,2003
阿鲁巴,98737,2004
阿鲁巴,100031,2005
阿鲁巴,100834,2006
阿鲁巴,101222,2007
阿鲁巴,101358,2008
阿鲁巴,101455,2009
阿鲁巴,101669,2010
阿鲁巴,102046,2011
阿鲁巴,102560,2012
阿鲁巴,103159,2013
阿鲁巴,103774,2014
阿鲁巴,104341,2015
阿鲁巴,104872,2016
阿鲁巴,105366,2017
阿鲁巴,105845,2018
阿鲁巴,0,2019
阿富汗,8996973,1960
阿富汗,9169410,1961
阿富汗,9351441,1962
阿富汗,9543205,1963
阿富汗,9744781,1964
阿富汗,9956320,1965
阿富汗,10174836,1966
阿富汗,10399926,1967
阿富汗,10637063,1968
阿富汗,10893776,1969
阿富汗,11173642,1970
阿富汗,11475445,1971
阿富汗,11791215,1972
阿富汗,12108963,1973
阿富汗,12412950,1974
阿富汗,12689160,1975
阿富汗,12943093,1976
阿富汗,13171306,1977
阿富汗,13341198,1978
阿富汗,13411056,1979
阿富汗,13356511,1980
阿富汗,13171673,1981
阿富汗,12882528,1982
阿富汗,12537730,1983
阿富汗,12204292,1984
阿富汗,11938208,1985
阿富汗,11736179,1986
阿富汗,11604534,1987
阿富汗,11618005,1988
阿富汗,11868877,1989
阿富汗,12412308,1990
阿富汗,13299017,1991
阿富汗,14485546,1992
阿富汗,15816603,1993
阿富汗,17075727,1994
阿富汗,18110657,1995
阿富汗,18853437,1996
阿富汗,19357126,1997
阿富汗,19737765,1998
阿富汗,20170844,1999
阿富汗,20779953,2000
阿富汗,21606988,2001
阿富汗,22600770,2002
阿富汗,23680871,2003
阿富汗,24726684,2004
阿富汗,25654277,2005
阿富汗,26433049,2006
阿富汗,27100536,2007
阿富汗,27722276,2008
阿富汗,28394813,2009
阿富汗,29185507,2010
阿富汗,30117413,2011
阿富汗,31161376,2012
阿富汗,32269589,2013
阿富汗,33370794,2014
阿富汗,34413603,2015
阿富汗,35383128,2016
阿富汗,36296400,2017
阿富汗,37172386,2018
阿富汗,0,2019
安哥拉,5454933,1960
安哥拉,5531472,1961
安哥拉,5608539,1962
安哥拉,5679458,1963
安哥拉,5735044,1964
安哥拉,5770570,1965
安哥拉,5781214,1966
安哥拉,5774243,1967
安哥拉,5771652,1968
安哥拉,5803254,1969
安哥拉,5890365,1970
安哥拉,6040777,1971
安哥拉,6248552,1972
安哥拉,6496962,1973
安哥拉,6761380,1974
安哥拉,7024000,1975
安哥拉,7279509,1976
安哥拉,7533735,1977
安哥拉,7790707,1978
安哥拉,8058067,1979
安哥拉,8341289,1980
安哥拉,8640446,1981
安哥拉,8952950,1982
安哥拉,9278096,1983
安哥拉,9614754,1984
安哥拉,9961997,1985
安哥拉,10320111,1986
安哥拉,10689250,1987
安哥拉,11068050,1988
安哥拉,11454777,1989
安哥拉,11848386,1990
安哥拉,12248901,1991
安哥拉,12657366,1992
安哥拉,13075049,1993
安哥拉,13503747,1994
安哥拉,13945206,1995
安哥拉,14400719,1996
安哥拉,14871570,1997
安哥拉,15359601,1998
安哥拉,15866869,1999
安哥拉,16395473,2000
安哥拉,16945753,2001
安哥拉,17519417,2002
安哥拉,18121479,2003
安哥拉,18758145,2004
安哥拉,19433602,2005
安哥拉,20149901,2006
安哥拉,20905363,2007
安哥拉,21695634,2008
安哥拉,22514281,2009
安哥拉,23356246,2010
安哥拉,24220661,2011
安哥拉,25107931,2012
安哥拉,26015780,2013
安哥拉,26941779,2014
安哥拉,27884381,2015
安哥拉,28842484,2016
安哥拉,29816748,2017
安哥拉,30809762,2018
安哥拉,0,2019
阿尔巴尼亚,1608800,1960
阿尔巴尼亚,1659800,1961
阿尔巴尼亚,1711319,1962
阿尔巴尼亚,1762621,1963
阿尔巴尼亚,1814135,1964
阿尔巴尼亚,1864791,1965
阿尔巴尼亚,1914573,1966
阿尔巴尼亚,1965598,1967
阿尔巴尼亚,2022272,1968
阿尔巴尼亚,2081695,1969
阿尔巴尼亚,2135479,1970
阿尔巴尼亚,2187853,1971
阿尔巴尼亚,2243126,1972
阿尔巴尼亚,2296752,1973
阿尔巴尼亚,2350124,1974
阿尔巴尼亚,2404831,1975
阿尔巴尼亚,2458526,1976
阿尔巴尼亚,2513546,1977
阿尔巴尼亚,2566266,1978
阿尔巴尼亚,2617832,1979
阿尔巴尼亚,2671997,1980
阿尔巴尼亚,2726056,1981
阿尔巴尼亚,2784278,1982
阿尔巴尼亚,2843960,1983
阿尔巴尼亚,2904429,1984
阿尔巴尼亚,2964762,1985
阿尔巴尼亚,3022635,1986
