name,value,date
阿富汗,285352,1960
阿富汗,300359,1961
阿富汗,316177,1962
阿富汗,332829,1963
阿富汗,350382,1964
阿富汗,368809,1965
阿富汗,388232,1966
阿富汗,408087,1967
阿富汗,428363,1968
阿富汗,449585,1969
阿富汗,471891,1970
阿富汗,495303,1971
阿富汗,528508,1972
阿富汗,573161,1973
阿富汗,621656,1974
阿富汗,674254,1975
阿富汗,731385,1976
阿富汗,793178,1977
阿富汗,860289,1978
阿富汗,932388,1979
阿富汗,977824,1980
阿富汗,1025339,1981
阿富汗,1075233,1982
阿富汗,1127555,1983
阿富汗,1182500,1984
阿富汗,1239961,1985
阿富汗,1300299,1986
阿富汗,1358525,1987
阿富汗,1419444,1988
阿富汗,1482916,1989
阿富汗,1549320,1990
阿富汗,1618697,1991
阿富汗,1691283,1992
阿富汗,1766910,1993
阿富汗,1846031,1994
阿富汗,1928694,1995
阿富汗,2015181,1996
阿富汗,2105292,1997
阿富汗,2199565,1998
阿富汗,2298059,1999
阿富汗,2401109,2000
阿富汗,2508477,2001
阿富汗,2620804,2002
阿富汗,2738161,2003
阿富汗,2834061,2004
阿富汗,2905178,2005
阿富汗,2978181,2006
阿富汗,3053018,2007
阿富汗,3129844,2008
阿富汗,3208383,2009
阿富汗,3289005,2010
阿富汗,3371653,2011
阿富汗,3456496,2012
阿富汗,3543232,2013
阿富汗,3632269,2014
阿富汗,3723543,2015
阿富汗,3817241,2016
阿富汗,3913297,2017
阿富汗,4011770,2018
安哥拉,219427,1960
安哥拉,233134,1961
安哥拉,251373,1962
安哥拉,271039,1963
安哥拉,292274,1964
安哥拉,315108,1965
安哥拉,339760,1966
安哥拉,366341,1967
安哥拉,395043,1968
安哥拉,425905,1969
安哥拉,459225,1970
安哥拉,488590,1971
安哥拉,514050,1972
安哥拉,540761,1973
安哥拉,568901,1974
安哥拉,598504,1975
安哥拉,629692,1976
安哥拉,662412,1977
安哥拉,696882,1978
安哥拉,733145,1979
安哥拉,771349,1980
安哥拉,811430,1981
安哥拉,853654,1982
安哥拉,898124,1983
安哥拉,964072,1984
安哥拉,1034661,1985
安哥拉,1110527,1986
安哥拉,1191955,1987
安哥拉,1279479,1988
安哥拉,1373162,1989
安哥拉,1473848,1990
安哥拉,1581917,1991
安哥拉,1698075,1992
安哥拉,1822407,1993
安哥拉,1940528,1994
安哥拉,2066306,1995
安哥拉,2200426,1996
安哥拉,2342847,1997
安哥拉,2494701,1998
安哥拉,2656398,1999
安哥拉,2828820,2000
安哥拉,3011913,2001
安哥拉,3207133,2002
安哥拉,3415007,2003
安哥拉,3636670,2004
安哥拉,3872050,2005
安哥拉,4123021,2006
安哥拉,4390259,2007
安哥拉,4675223,2008
安哥拉,4977823,2009
安哥拉,5300466,2010
安哥拉,5644022,2011
安哥拉,6010365,2012
安哥拉,6399381,2013
安哥拉,6789357,2014
安哥拉,7023206,2015
安哥拉,7265449,2016
安哥拉,7515345,2017
安哥拉,7774200,2018
阿拉伯联合酋长国,56992,1960
阿拉伯联合酋长国,62187,1961
阿拉伯联合酋长国,67984,1962
阿拉伯联合酋长国,74453,1963
阿拉伯联合酋长国,81695,1964
阿拉伯联合酋长国,89777,1965
阿拉伯联合酋长国,98849,1966
阿拉伯联合酋长国,109031,1967
阿拉伯联合酋长国,122096,1968
阿拉伯联合酋长国,141174,1969
阿拉伯联合酋长国,163310,1970
阿拉伯联合酋长国,188970,1971
阿拉伯联合酋长国,218765,1972
阿拉伯联合酋长国,253227,1973
阿拉伯联合酋长国,293258,1974
阿拉伯联合酋长国,339713,1975
阿拉伯联合酋长国,386053,1976
阿拉伯联合酋长国,430379,1977
阿拉伯联合酋长国,480348,1978
阿拉伯联合酋长国,536655,1979
阿拉伯联合酋长国,600258,1980
阿拉伯联合酋长国,649068,1981
阿拉伯联合酋长国,682078,1982
阿拉伯联合酋长国,716927,1983
阿拉伯联合酋长国,753780,1984
阿拉伯联合酋长国,792594,1985
阿拉伯联合酋长国,834671,1986
阿拉伯联合酋长国,880083,1987
阿拉伯联合酋长国,928205,1988
阿拉伯联合酋长国,978995,1989
阿拉伯联合酋长国,1032825,1990
