name,value,date
阿鲁巴,0,1960
阿鲁巴,0,1961
阿鲁巴,0,1962
阿鲁巴,0,1963
阿鲁巴,0,1964
阿鲁巴,0,1965
阿鲁巴,0,1966
阿鲁巴,0,1967
阿鲁巴,0,1968
阿鲁巴,0,1969
阿鲁巴,0,1970
阿鲁巴,0,1971
阿鲁巴,0,1972
阿鲁巴,0,1973
阿鲁巴,0,1974
阿鲁巴,0,1975
阿鲁巴,0,1976
阿鲁巴,0,1977
阿鲁巴,0,1978
阿鲁巴,0,1979
阿鲁巴,0,1980
阿鲁巴,0,1981
阿鲁巴,0,1982
阿鲁巴,0,1983
阿鲁巴,0,1984
阿鲁巴,0,1985
阿鲁巴,0,1986
阿鲁巴,0,1987
阿鲁巴,0,1988
阿鲁巴,0,1989
阿鲁巴,0,1990
阿鲁巴,0,1991
阿鲁巴,0,1992
阿鲁巴,0,1993
阿鲁巴,0,1994
阿鲁巴,619000,1995
阿鲁巴,641000,1996
阿鲁巴,650000,1997
阿鲁巴,647000,1998
阿鲁巴,683000,1999
阿鲁巴,721000,2000
阿鲁巴,691000,2001
阿鲁巴,643000,2002
阿鲁巴,642000,2003
阿鲁巴,728000,2004
阿鲁巴,733000,2005
阿鲁巴,694000,2006
阿鲁巴,772000,2007
阿鲁巴,827000,2008
阿鲁巴,813000,2009
阿鲁巴,824000,2010
阿鲁巴,869000,2011
阿鲁巴,904000,2012
阿鲁巴,979000,2013
阿鲁巴,1072000,2014
阿鲁巴,1225000,2015
阿鲁巴,1102000,2016
阿鲁巴,1070500,2017
阿鲁巴,0,2018
阿鲁巴,0,2019
阿富汗,0,1960
阿富汗,0,1961
阿富汗,0,1962
阿富汗,0,1963
阿富汗,0,1964
阿富汗,0,1965
阿富汗,0,1966
阿富汗,0,1967
阿富汗,0,1968
阿富汗,0,1969
阿富汗,0,1970
阿富汗,0,1971
阿富汗,0,1972
阿富汗,0,1973
阿富汗,0,1974
阿富汗,0,1975
阿富汗,0,1976
阿富汗,0,1977
阿富汗,0,1978
阿富汗,0,1979
阿富汗,0,1980
阿富汗,0,1981
阿富汗,0,1982
阿富汗,0,1983
阿富汗,0,1984
阿富汗,0,1985
阿富汗,0,1986
阿富汗,0,1987
阿富汗,0,1988
阿富汗,0,1989
阿富汗,0,1990
阿富汗,0,1991
阿富汗,0,1992
阿富汗,0,1993
阿富汗,0,1994
阿富汗,0,1995
阿富汗,0,1996
阿富汗,0,1997
阿富汗,0,1998
阿富汗,0,1999
阿富汗,0,2000
阿富汗,0,2001
阿富汗,0,2002
