Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
阿鲁巴	ABW	国际旅游，入境人数	ST.INT.ARVL																																				619000	641000	650000	647000	683000	721000	691000	643000	642000	728000	733000	694000	772000	827000	813000	824000	869000	904000	979000	1072000	1225000	1102000	1070500		
阿富汗	AFG	国际旅游，入境人数	ST.INT.ARVL																																																												
安哥拉	AGO	国际旅游，入境人数	ST.INT.ARVL																																				9000	21000	45000	52000	45000	51000	67000	91000	107000	194000	210000	121000	195000	294000	366000	425000	481000	528000	650000	595000	592000	397000	261000		
阿尔巴尼亚	ALB	国际旅游，入境人数	ST.INT.ARVL																																				304000	287000	119000	184000	371000	317000	354000	470000	557000	645000	748000	937000	1062000	1247000	1711000	2191000	2469000	3156000	2857000	3341000	3784000	4070000	4643000		
安道尔共和国	AND	国际旅游，入境人数	ST.INT.ARVL																																								2347000	2949000	3516000	3387000	3138000	2791000	2418000	2227000	2189000	2059000	1830000	1808000	2242000	2238000	2328000	2363000	2663000	2831000			
阿拉伯联盟国家	ARB	国际旅游，入境人数	ST.INT.ARVL																																				21155218.97	21929046.54	23843320.57	26232082.73	30108429.35	33912574.07	34786173.83	39041453.14	40811528.75	48610393.73	51279854.2	56738332.52	64512205.96	74568621.89	73727487.73	84595149.47	70901563.52	78991956.95	78697163.86	84157080.37	78853812.61	76363407.8	82214598.63		
阿拉伯联合酋长国	ARE	国际旅游，入境人数	ST.INT.ARVL																																				2315000	2572000	2476000	2991000	3393000	3907000	4134000	5445000	5871000	6195000	7126000														
阿根廷	ARG	国际旅游，入境人数	ST.INT.ARVL																																				2289000	2614000	2764000	3012000	2898000	2909000	2620000	2820000	2995000	3457000	3823000	4173000	4562000	4700000	4308000	5325000	5705000	5587000	5246000	5931000	5736000	6655000	6720000		
亚美尼亚	ARM	国际旅游，入境人数	ST.INT.ARVL																																				12000	13000	23000	32000	41000	45000	123000	162000	206000	263000	319000	382000	511000	558000	575000	684000	758000	963000	1084000	1204000	1192000	1260000	1495000		
美属萨摩亚	ASM	国际旅游，入境人数	ST.INT.ARVL																																				34000	35000	26000	36000	41000	44000	36000				24500	25300	24100	24300	23500	23100	22600	22600	20800	21600	20300	20100	20000		
