Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
阿鲁巴	ABW	基尼 (GINI) 系数	SI.POV.GINI																																																												
阿富汗	AFG	基尼 (GINI) 系数	SI.POV.GINI																																																												
安哥拉	AGO	基尼 (GINI) 系数	SI.POV.GINI																																									52								42.7											
阿尔巴尼亚	ALB	基尼 (GINI) 系数	SI.POV.GINI																																					27						31.7			30.6			30				29							
安道尔共和国	AND	基尼 (GINI) 系数	SI.POV.GINI																																																												
阿拉伯联盟国家	ARB	基尼 (GINI) 系数	SI.POV.GINI																																																												
阿拉伯联合酋长国	ARE	基尼 (GINI) 系数	SI.POV.GINI																																																												
阿根廷	ARG	基尼 (GINI) 系数	SI.POV.GINI																					40.8						42.8	45.3				46.8	45.5	44.9	45.9	48.9	49.5	49.1	50.7	49.8	51.1	53.3	53.8	51.2	48.6	48	46.7	46.6	45.3	44.1	44.5	42.7	41.4	41	41.7		42	41.2		
亚美尼亚	ARM	基尼 (GINI) 系数	SI.POV.GINI																																								36.2		35.4	34.8	33	37.5	36	29.7	31.2	29.2	28	30	29.4	29.6	30.6	31.5	32.4	32.5	33.6		
美属萨摩亚	ASM	基尼 (GINI) 系数	SI.POV.GINI																																																												
安提瓜和巴布达	ATG	基尼 (GINI) 系数	SI.POV.GINI																																																												
澳大利亚	AUS	基尼 (GINI) 系数	SI.POV.GINI																						31.3				32.5				33.2						32.6						33.5		33.5	33.1				35.4		34.7				35.8					
奥地利	AUT	基尼 (GINI) 系数	SI.POV.GINI																																												29.5	29.8	28.7	29.6	30.6	30.4	31.5	30.3	30.8	30.5	30.8	30.5	30.5				
阿塞拜疆	AZE	基尼 (GINI) 系数	SI.POV.GINI																																				34.7						36.5	25.3	26.8	26.6	26.6														
布隆迪	BDI	基尼 (GINI) 系数	SI.POV.GINI																																	33.3						42.3								33.4							38.6						
比利时	BEL	基尼 (GINI) 系数	SI.POV.GINI																																												28.1	30.5	29.3	28.1	29.2	28.4	28.5	28.4	28.1	27.5	27.7	28.1	27.7				
贝宁	BEN	基尼 (GINI) 系数	SI.POV.GINI																																												38.6								43.4				47.8				
布基纳法索	BFA	基尼 (GINI) 系数	SI.POV.GINI																																			48.1				49.9					43.3						39.8					35.3					
孟加拉国	BGD	基尼 (GINI) 系数	SI.POV.GINI																								25.9		26.9			28.8			27.6				32.9					33.4					33.2					32.1						32.4			
保加利亚	BGR	基尼 (GINI) 系数	SI.POV.GINI																																	30.7														35.7	36.1	33.6	33.8	35.7	34.3	36	36.6	37.4					
巴林	BHR	基尼 (GINI) 系数	SI.POV.GINI																																																												
巴哈马	BHS	基尼 (GINI) 系数	SI.POV.GINI																																																												
波斯尼亚和黑塞哥维那	BIH	基尼 (GINI) 系数	SI.POV.GINI																																										30			34			33.1				33								
白俄罗斯	BLR	基尼 (GINI) 系数	SI.POV.GINI																																							32	31.7	31.2	30.6	30.3	28.8	26.5	27.6	28.3	29.6	27.8	27.7	28.6	27.2	26.5	26.6	27.2	25.6	25.3	25.4		
伯利兹	BLZ	基尼 (GINI) 系数	SI.POV.GINI																																		60.3	60.9		56.6	60.4	54.9	53.3																				
百慕大	BMU	基尼 (GINI) 系数	SI.POV.GINI																																																												
玻利维亚	BOL	基尼 (GINI) 系数	SI.POV.GINI																															42							58.2		58.1	61.6	57.4	59.3		55	58.5	56.7	54.5	50.8	49.2		46.1	46.6	47.6	47.8	46.7	44.6	44		
