name,value,date
阿富汗,35429000,1970
阿富汗,44479000,1971
阿富汗,66915000,1972
阿富汗,68679000,1973
阿富汗,76179000,1974
阿富汗,86064000,1975
阿富汗,88504000,1976
阿富汗,95779000,1977
阿富汗,99690000,1978
阿富汗,102133000,1979
阿富汗,104471000,1980
阿富汗,104471000,1981
阿富汗,104471000,1982
阿富汗,108612000,1983
阿富汗,115518000,1984
阿富汗,121182000,1985
阿富汗,132882000,1986
阿富汗,149060000,1987
阿富汗,151850000,1988
阿富汗,151939000,1989
阿富汗,152618000,1990
阿富汗,154028000,1991
阿富汗,155024000,1992
阿富汗,156198000,1993
阿富汗,157228000,1994
阿富汗,158095000,1995
阿富汗,158700000,1996
阿富汗,159204000,1997
阿富汗,159606000,1998
阿富汗,196559134.3,1999
阿富汗,214716148.7,2000
阿富汗,218082337.2,2001
阿富汗,405429137.5,2002
阿富汗,556394814.4,2003
阿富汗,676067917,2004
阿富汗,747773945.3,2005
阿富汗,979344507.8,2006
阿富汗,2023034713,2007
阿富汗,2143951791,2008
阿富汗,2480214114,2009
阿富汗,2435623906,2010
阿富汗,2627714623,2011
阿富汗,2729151878,2012
阿富汗,2586976890,2013
阿富汗,2612976572,2014
阿富汗,2636960122,2015
阿富汗,2596711668,2016
阿富汗,2716954639,2017
阿富汗,2605357558,2018
安哥拉,0,1970
安哥拉,0,1971
安哥拉,0,1972
安哥拉,0,1973
安哥拉,0,1974
安哥拉,0,1975
安哥拉,28998697.9,1976
安哥拉,84519480,1977
安哥拉,102222330,1978
安哥拉,112451950,1979
安哥拉,149882340,1980
安哥拉,207158407.8,1981
安哥拉,447366070.2,1982
安哥拉,724584252.3,1983
安哥拉,1402286749,1984
安哥拉,2990005997,1985
安哥拉,3659480820,1986
安哥拉,5449602247,1987
安哥拉,6287899231,1988
安哥拉,7288778066,1989
安哥拉,8591895991,1990
安哥拉,9000344459,1991
安哥拉,10059207811,1992
安哥拉,10571384638,1993
安哥拉,11292755788,1994
安哥拉,11502043062,1995
安哥拉,10545818708,1996
安哥拉,9948274153,1997
安哥拉,10784076260,1998
安哥拉,10673241870,1999
安哥拉,9763465564,2000
安哥拉,8776917205,2001
安哥拉,9109536719,2002
安哥拉,9099850424,2003
安哥拉,9786029392,2004
安哥拉,12223970247,2005
安哥拉,9890493323,2006
安哥拉,11931686535,2007
安哥拉,15501571033,2008
安哥拉,20172422589,2009
安哥拉,26599588911,2010
安哥拉,33964864295,2011
安哥拉,44259094239,2012
安哥拉,54946498465,2013
安哥拉,56935502893,2014
安哥拉,56272310712,2015
安哥拉,57167386215,2016
安哥拉,52617590365,2017
安哥拉,54563366501,2018
阿尔巴尼亚,0,1970
阿尔巴尼亚,0,1971
阿尔巴尼亚,0,1972
阿尔巴尼亚,0,1973
阿尔巴尼亚,0,1974
阿尔巴尼亚,0,1975
阿尔巴尼亚,0,1976
阿尔巴尼亚,0,1977
阿尔巴尼亚,0,1978
阿尔巴尼亚,0,1979
阿尔巴尼亚,0,1980
阿尔巴尼亚,0,1981
阿尔巴尼亚,0,1982
阿尔巴尼亚,0,1983
阿尔巴尼亚,0,1984
阿尔巴尼亚,0,1985
阿尔巴尼亚,0,1986
阿尔巴尼亚,0,1987
阿尔巴尼亚,0,1988
阿尔巴尼亚,74400000,1989
阿尔巴尼亚,348586075.4,1990
阿尔巴尼亚,511485756.3,1991
阿尔巴尼亚,632621789.2,1992
阿尔巴尼亚,786033591.2,1993
阿尔巴尼亚,883115193.8,1994
阿尔巴尼亚,458862737.5,1995
阿尔巴尼亚,491994448.6,1996
阿尔巴尼亚,516476961.3,1997
阿尔巴尼亚,623592791.8,1998
阿尔巴尼亚,773092900.6,1999
阿尔巴尼亚,1122377829,2000
阿尔巴尼亚,1154928426,2001
阿尔巴尼亚,1181531103,2002
阿尔巴尼亚,1552156220,2003
阿尔巴尼亚,1606135184,2004
阿尔巴尼亚,2128651197,2005
阿尔巴尼亚,2520336702,2006
阿尔巴尼亚,2970737965,2007
阿尔巴尼亚,4261295383,2008
阿尔巴尼亚,4610220148,2009
阿尔巴尼亚,5441264130,2010
阿尔巴尼亚,6488737179,2011
阿尔巴尼亚,7389133040,2012
阿尔巴尼亚,9067987703,2013
阿尔巴尼亚,8640499747,2014
阿尔巴尼亚,8657265164,2015
阿尔巴尼亚,8741215303,2016
阿尔巴尼亚,10062185202,2017
阿尔巴尼亚,10121923559,2018
阿根廷,5893191434,1970
阿根廷,6353903965,1971
阿根廷,6893803268,1972
阿根廷,7374621351,1973
阿根廷,7798525658,1974
阿根廷,7901576053,1975
阿根廷,9501611015,1976
阿根廷,11675739426,1977
阿根廷,13507657038,1978
阿根廷,21176835027,1979
阿根廷,27322463713,1980
阿根廷,35809463188,1981
阿根廷,43787004262,1982
阿根廷,46108319455,1983
阿根廷,49060805833,1984
阿根廷,51156733946,1985
阿根廷,52688148844,1986
阿根廷,58722673497,1987
阿根廷,59015245404,1988
阿根廷,65538413075,1989
阿根廷,62477601312,1990
阿根廷,65672366930,1991
阿根廷,68605638952,1992
阿根廷,64681387080,1993
阿根廷,75094061336,1994
阿根廷,98773122013,1995
阿根廷,1.11146E+11,1996
阿根廷,1.28251E+11,1997
阿根廷,1.41505E+11,1998
阿根廷,1.51914E+11,1999
阿根廷,1.50063E+11,2000
阿根廷,1.5265E+11,2001
阿根廷,1.4832E+11,2002
阿根廷,1.63443E+11,2003
阿根廷,1.68E+11,2004
阿根廷,1.30788E+11,2005
阿根廷,1.18921E+11,2006
阿根廷,1.20818E+11,2007
阿根廷,1.29752E+11,2008
阿根廷,1.33695E+11,2009
阿根廷,1.26642E+11,2010
阿根廷,1.42885E+11,2011
阿根廷,1.39755E+11,2012
阿根廷,1.49694E+11,2013
阿根廷,1.53182E+11,2014
阿根廷,1.76575E+11,2015
阿根廷,1.88758E+11,2016
阿根廷,2.36471E+11,2017
阿根廷,2.80516E+11,2018
亚美尼亚,0,1970
亚美尼亚,0,1971
亚美尼亚,0,1972
亚美尼亚,0,1973
亚美尼亚,0,1974
亚美尼亚,0,1975
亚美尼亚,0,1976
亚美尼亚,0,1977
亚美尼亚,0,1978
亚美尼亚,0,1979
亚美尼亚,0,1980
亚美尼亚,0,1981
亚美尼亚,0,1982
亚美尼亚,0,1983
亚美尼亚,0,1984
亚美尼亚,0,1985
亚美尼亚,0,1986
亚美尼亚,0,1987
亚美尼亚,0,1988
亚美尼亚,0,1989
亚美尼亚,0,1990
亚美尼亚,928184,1991
亚美尼亚,40901414,1992
亚美尼亚,133922025.2,1993
亚美尼亚,214328549.4,1994
亚美尼亚,370656928,1995
亚美尼亚,520544050.4,1996
亚美尼亚,638485619.5,1997
亚美尼亚,804242112.9,1998
亚美尼亚,1022596080,1999
亚美尼亚,1018418174,2000
亚美尼亚,1410424531,2001
亚美尼亚,1719549290,2002
亚美尼亚,1996130970,2003
亚美尼亚,2107914571,2004
亚美尼亚,1969824793,2005
亚美尼亚,2138883503,2006
亚美尼亚,3081934925,2007
亚美尼亚,3612490093,2008
亚美尼亚,4934959250,2009
亚美尼亚,6307170669,2010
亚美尼亚,7410792665,2011
亚美尼亚,7640566739,2012
亚美尼亚,8681090933,2013
亚美尼亚,8555658358,2014
亚美尼亚,8931020972,2015
亚美尼亚,9955623313,2016
亚美尼亚,10328628739,2017
亚美尼亚,11018780269,2018
阿塞拜疆,0,1970
阿塞拜疆,0,1971
阿塞拜疆,0,1972
阿塞拜疆,0,1973
阿塞拜疆,0,1974
阿塞拜疆,0,1975
阿塞拜疆,0,1976
阿塞拜疆,0,1977
阿塞拜疆,0,1978
阿塞拜疆,0,1979
阿塞拜疆,0,1980
阿塞拜疆,0,1981
阿塞拜疆,0,1982
阿塞拜疆,0,1983
阿塞拜疆,0,1984
阿塞拜疆,0,1985
阿塞拜疆,0,1986
阿塞拜疆,0,1987
阿塞拜疆,0,1988
阿塞拜疆,0,1989
阿塞拜疆,0,1990
阿塞拜疆,0,1991
阿塞拜疆,0,1992
阿塞拜疆,35540000,1993
阿塞拜疆,112814844.4,1994
阿塞拜疆,320987667.6,1995
阿塞拜疆,438309868.3,1996
阿塞拜疆,508060653.1,1997
阿塞拜疆,706603152.3,1998
阿塞拜疆,1289063609,1999
阿塞拜疆,1585215993,2000
阿塞拜疆,1515370498,2001
阿塞拜疆,1691663803,2002
阿塞拜疆,1941119870,2003
阿塞拜疆,2169229387,2004
阿塞拜疆,2247015897,2005
阿塞拜疆,2798140349,2006
阿塞拜疆,3904857355,2007
阿塞拜疆,4496869388,2008
阿塞拜疆,4556215906,2009
阿塞拜疆,7258135815,2010
阿塞拜疆,7693695188,2011
阿塞拜疆,10832291641,2012
阿塞拜疆,10578028207,2013
阿塞拜疆,12101127097,2014
阿塞拜疆,13450352493,2015
阿塞拜疆,14769411269,2016
阿塞拜疆,15467694868,2017
阿塞拜疆,16212184534,2018
布隆迪,14970400.9,1970
布隆迪,13628499,1971
布隆迪,6895385.6,1972
布隆迪,7780758.4,1973
布隆迪,9437482,1974
布隆迪,19378709.7,1975
布隆迪,22365684.2,1976
布隆迪,47221848.4,1977
布隆迪,74679956.5,1978
布隆迪,136189377,1979
布隆迪,165719681.3,1980
布隆迪,178613654.8,1981
布隆迪,227431810.4,1982
布隆迪,307726678.6,1983
布隆迪,348008143.1,1984
布隆迪,455096618.9,1985
布隆迪,570430014.5,1986
布隆迪,769586468.4,1987
布隆迪,800694146.9,1988
布隆迪,888845816.1,1989
布隆迪,906936375.2,1990
布隆迪,963475598.4,1991
布隆迪,1026584700,1992
布隆迪,1065645817,1993
布隆迪,1127404969,1994
布隆迪,1161951393,1995
布隆迪,1130746660,1996
布隆迪,1068957656,1997
布隆迪,1121825244,1998
布隆迪,1153732064,1999
布隆迪,1125869261,2000
布隆迪,1093536451,2001
布隆迪,1232214637,2002
布隆迪,1348337839,2003
布隆迪,1357933155,2004
布隆迪,1287893069,2005
布隆迪,1371901890,2006
布隆迪,1409730477,2007
布隆迪,1390288829,2008
布隆迪,607230101.8,2009
布隆迪,620923162,2010
布隆迪,604409004.8,2011
布隆迪,667315097.4,2012
布隆迪,683609365,2013
布隆迪,690168169.4,2014
布隆迪,625980490.9,2015
布隆迪,602774443.7,2016
布隆迪,613972235.4,2017
布隆迪,589342922.5,2018
贝宁,43206645.9,1970
贝宁,51050106,1971
贝宁,47315754,1972
贝宁,90483938.2,1973
贝宁,108808916.9,1974
贝宁,119207923.7,1975
贝宁,141222202.2,1976
贝宁,212376218.6,1977
贝宁,283904950.1,1978
贝宁,453818384.5,1979
贝宁,474871020.5,1980
贝宁,543224056.1,1981
贝宁,758283071.1,1982
