Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
阿鲁巴	ABW	外债总额存量（DOD，现价美元）	DT.DOD.DECT.CD																																																												
阿富汗	AFG	外债总额存量（DOD，现价美元）	DT.DOD.DECT.CD											35429000	44479000	66915000	68679000	76179000	86064000	88504000	95779000	99690000	102133000	104471000	104471000	104471000	108612000	115518000	121182000	132882000	149060000	151850000	151939000	152618000	154028000	155024000	156198000	157228000	158095000	158700000	159204000	159606000	196559134.3	214716148.7	218082337.2	405429137.5	556394814.4	676067917	747773945.3	979344507.8	2023034713	2143951791	2480214114	2435623906	2627714623	2729151878	2586976890	2612976572	2636960122	2596711668	2716954639	2605357558	
安哥拉	AGO	外债总额存量（DOD，现价美元）	DT.DOD.DECT.CD											0	0	0	0	0	0	28998697.9	84519480	102222330	112451950	149882340	207158407.8	447366070.2	724584252.3	1402286749	2990005997	3659480820	5449602247	6287899231	7288778066	8591895991	9000344459	10059207811	10571384638	11292755788	11502043062	10545818708	9948274153	10784076260	10673241870	9763465564	8776917205	9109536719	9099850424	9786029392	12223970247	9890493323	11931686535	15501571033	20172422589	26599588911	33964864295	44259094239	54946498465	56935502893	56272310712	57167386215	52617590365	54563366501	
阿尔巴尼亚	ALB	外债总额存量（DOD，现价美元）	DT.DOD.DECT.CD											0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74400000	348586075.4	511485756.3	632621789.2	786033591.2	883115193.8	458862737.5	491994448.6	516476961.3	623592791.8	773092900.6	1122377829	1154928426	1181531103	1552156220	1606135184	2128651197	2520336702	2970737965	4261295383	4610220148	5441264130	6488737179	7389133040	9067987703	8640499747	8657265164	8741215303	10062185202	10121923559	
安道尔共和国	AND	外债总额存量（DOD，现价美元）	DT.DOD.DECT.CD																																																												
阿拉伯联盟国家	ARB	外债总额存量（DOD，现价美元）	DT.DOD.DECT.CD																																																												
阿拉伯联合酋长国	ARE	外债总额存量（DOD，现价美元）	DT.DOD.DECT.CD																																																												
阿根廷	ARG	外债总额存量（DOD，现价美元）	DT.DOD.DECT.CD											5893191434	6353903965	6893803268	7374621351	7798525658	7901576053	9501611015	11675739426	13507657038	21176835027	27322463713	35809463188	43787004262	46108319455	49060805833	51156733946	52688148844	58722673497	59015245404	65538413075	62477601312	65672366930	68605638952	64681387080	75094061336	98773122013	1.11146E+11	1.28251E+11	1.41505E+11	1.51914E+11	1.50063E+11	1.5265E+11	1.4832E+11	1.63443E+11	1.68E+11	1.30788E+11	1.18921E+11	1.20818E+11	1.29752E+11	1.33695E+11	1.26642E+11	1.42885E+11	1.39755E+11	1.49694E+11	1.53182E+11	1.76575E+11	1.88758E+11	2.36471E+11	2.80516E+11	
亚美尼亚	ARM	外债总额存量（DOD，现价美元）	DT.DOD.DECT.CD											0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	928184	40901414	133922025.2	214328549.4	370656928	520544050.4	638485619.5	804242112.9	1022596080	1018418174	1410424531	1719549290	1996130970	2107914571	1969824793	2138883503	3081934925	3612490093	4934959250	6307170669	7410792665	7640566739	8681090933	8555658358	8931020972	9955623313	10328628739	11018780269	
美属萨摩亚	ASM	外债总额存量（DOD，现价美元）	DT.DOD.DECT.CD																																																												
安提瓜和巴布达	ATG	外债总额存量（DOD，现价美元）	DT.DOD.DECT.CD																																																												
澳大利亚	AUS	外债总额存量（DOD，现价美元）	DT.DOD.DECT.CD																																																												
奥地利	AUT	外债总额存量（DOD，现价美元）	DT.DOD.DECT.CD																																																												
