name,value,date
阿鲁巴,0,1960
阿鲁巴,0,1961
阿鲁巴,0,1962
阿鲁巴,0,1963
阿鲁巴,0,1964
阿鲁巴,0,1965
阿鲁巴,0,1966
阿鲁巴,0,1967
阿鲁巴,0,1968
阿鲁巴,0,1969
阿鲁巴,0,1970
阿鲁巴,0,1971
阿鲁巴,0,1972
阿鲁巴,0,1973
阿鲁巴,0,1974
阿鲁巴,0,1975
阿鲁巴,0,1976
阿鲁巴,0,1977
阿鲁巴,0,1978
阿鲁巴,0,1979
阿鲁巴,0,1980
阿鲁巴,0,1981
阿鲁巴,0,1982
阿鲁巴,0,1983
阿鲁巴,0,1984
阿鲁巴,0,1985
阿鲁巴,112720000,1986
阿鲁巴,127140000,1987
阿鲁巴,131945000,1988
阿鲁巴,127170000,1989
阿鲁巴,136430000,1990
阿鲁巴,154950000,1991
阿鲁巴,175435000,1992
阿鲁巴,220304999,1993
阿鲁巴,215915000,1994
阿鲁巴,255345000,1995
阿鲁巴,224545000,1996
阿鲁巴,201350001,1997
阿鲁巴,250969999,1998
阿鲁巴,248935000,1999
阿鲁巴,235455000,2000
阿鲁巴,321360614.5,2001
阿鲁巴,374002933,2002
阿鲁巴,336945700,2003
阿鲁巴,339224000,2004
阿鲁巴,324813400,2005
阿鲁巴,401389600,2006
阿鲁巴,455457100,2007
阿鲁巴,691873900,2008
阿鲁巴,686970110,2009
阿鲁巴,708713690,2010
阿鲁巴,689775980,2011
阿鲁巴,768622300,2012
阿鲁巴,653170670,2013
阿鲁巴,680351000,2014
阿鲁巴,815800560,2015
阿鲁巴,922550890,2016
阿鲁巴,907111452.5,2017
阿鲁巴,980247680,2018
阿鲁巴,0,2019
阿富汗,0,1960
阿富汗,0,1961
阿富汗,0,1962
阿富汗,45547800,1963
阿富汗,44619680,1964
阿富汗,45434560,1965
阿富汗,47114050,1966
阿富汗,38528800,1967
阿富汗,45589800,1968
阿富汗,41373600,1969
阿富汗,49488930,1970
阿富汗,67614026.95,1971
阿富汗,81289660.87,1972
阿富汗,126230158.2,1973
阿富汗,201456356.9,1974
阿富汗,217260903.8,1975
阿富汗,256505577.3,1976
阿富汗,431038896.5,1977
阿富汗,605029119.8,1978
阿富汗,934779039.4,1979
阿富汗,940035968.5,1980
阿富汗,657880757.5,1981
阿富汗,698660805.6,1982
阿富汗,582311039.8,1983
阿富汗,526217137.2,1984
阿富汗,610761731.1,1985
阿富汗,635742142.3,1986
阿富汗,746832947.4,1987
阿富汗,657015441.6,1988
阿富汗,630659707.9,1989
