Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
阿鲁巴	ABW	总储备（包括黄金，按现值美元计）	FI.RES.TOTL.CD																											112720000	127140000	131945000	127170000	136430000	154950000	175435000	220304999	215915000	255345000	224545000	201350001	250969999	248935000	235455000	321360614.5	374002933	336945700	339224000	324813400	401389600	455457100	691873900	686970110	708713690	689775980	768622300	653170670	680351000	815800560	922550890	907111452.5	980247680	
阿富汗	AFG	总储备（包括黄金，按现值美元计）	FI.RES.TOTL.CD				45547800	44619680	45434560	47114050	38528800	45589800	41373600	49488930	67614026.95	81289660.87	126230158.2	201456356.9	217260903.8	256505577.3	431038896.5	605029119.8	934779039.4	940035968.5	657880757.5	698660805.6	582311039.8	526217137.2	610761731.1	635742142.3	746832947.4	657015441.6	630659707.9	637925667.4	576118920.3																	3042274496	4265888740	5162440807	6344641960	7152304398	7288702711	7528549880	6976966154	7281910524	8097280956	8206682106	
安哥拉	AGO	总储备（包括黄金，按现值美元计）	FI.RES.TOTL.CD																																				228335521.2	555691254.4	392514285.9	202442614.1	491400189.6	1198212373	731866198.1	375545950.3	634199422.3	1379588147	3196850749	8149079646	11196800894	17869411576	13664098154	19678661657	27039761554	31161778889	31500815462	27032344084	23790543425	23672191989	17455327771	15410405365	
阿尔巴尼亚	ALB	总储备（包括黄金，按现值美元计）	FI.RES.TOTL.CD																																		166509702.6	223594867.3	265298058	323376838.7	342425753	417921457.2	523112274.3	646305676.5	770581227.4	866478231.3	1038294231	1387912854	1439592137	1812802560	2161936583	2363791897	2368942443	2540673823	2471402725	2599863597	2773278107	2665215805	3138517990	3108607052	3588583657	3893560031	
安道尔共和国	AND	总储备（包括黄金，按现值美元计）	FI.RES.TOTL.CD																																																												
阿拉伯联盟国家	ARB	总储备（包括黄金，按现值美元计）	FI.RES.TOTL.CD																																																												
阿拉伯联合酋长国	ARE	总储备（包括黄金，按现值美元计）	FI.RES.TOTL.CD														91723795.17	452878020.6	987879902.3	1979903726	894066095.3	942089886.9	1727429508	2354590964	3471503445	2588863920	2384157754	2538886189	3471498477	3689328863	5120925343	4768739333	4776310582	4890564527	5646813747	5977160986	6415331635	6963509610	7778376181	8350159124	8603051266	9305872456	10790300349	13631620189	14256130113	15355431325	15087811904	18529923698	21010295842	27617445823	77238765358	31694454694	26104201598	32785291883	37269318423	47035150431	68202650660	78424381665	93929134196	85390832746	95377648626	99503335479	
阿根廷	ARG	总储备（包括黄金，按现值美元计）	FI.RES.TOTL.CD	527233600	386407550	114741240	269807440	153293600	236095840	216174480	727208400	780833300	538310000	681788410	304314527.1	572449755.2	1597255506	1889579481	848224746.1	1983316224	3843942355	5933322542	11626505760	9296756057	5006226776	4503960609	2840273965	2590505132	4702644000	4427405700	3733969300	5157480787	3216875258	6222040363	7462543636	11447031157	15499431244	16003265688	15979453702	19719017351	22424600097	24855741222	26350163486	25152117244	14555552760	10492424819	14157284136	19659591804	28081718502	32022297113	46149456856	46385380207	48006988635	52207549724	46265800526	43223270864	30533919651	31410813270	25520565580	38414518492	55314409205	66221501691	
亚美尼亚	ARM	总储备（包括黄金，按现值美元计）	FI.RES.TOTL.CD																																	1293750.052	13586867.79	36108082.69	111182285.2	168201671.1	239225950.4	293162998.7	303511811.2	314200332.8	329632780.1	430974325.4	501977062.1	547758869.6	669480407.7	1071917964	1659090453	1406800823	2003623408	1865824297	1932471999	1799374399	2251610255	1489443371	1775293494	2204113991	2314113951	2259321869	
美属萨摩亚	ASM	总储备（包括黄金，按现值美元计）	FI.RES.TOTL.CD																																																												
