Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
阿鲁巴	ABW	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
阿富汗	AFG	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																								4.4				
安哥拉	AGO	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																									5.2			
阿尔巴尼亚	ALB	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																											2.4							1.4									1.6	
安道尔共和国	AND	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
阿拉伯联盟国家	ARB	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
阿拉伯联合酋长国	ARE	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
阿根廷	ARG	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
亚美尼亚	ARM	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																									1.5					1.6					1.6						1.7			
美属萨摩亚	ASM	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
安提瓜和巴布达	ATG	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
澳大利亚	AUS	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
奥地利	AUT	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
阿塞拜疆	AZE	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																										3.5					1.8													
布隆迪	BDI	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																												5.8																							4.5							3.6		
比利时	BEL	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
贝宁	BEN	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																					5					4.6					4.8						4						4.9	
布基纳法索	BFA	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																		5.8						5.7				5.1							5.4									
孟加拉国	BGD	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																			2.2			2.1			2.2				1.9			1.9				1.6			1.7					
保加利亚	BGR	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
巴林	BHR	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
巴哈马	BHS	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
波斯尼亚和黑塞哥维那	BIH	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
白俄罗斯	BLR	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
伯利兹	BLZ	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
百慕大	BMU	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
玻利维亚	BOL	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																														2.7					2.7				2.5					2.1					2											
巴西	BRA	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																											2.3					2.1					1.8																							
巴巴多斯	BRB	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
文莱达鲁萨兰国	BRN	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
不丹	BTN	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
博茨瓦纳	BWA	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																													3.9																															
中非共和国	CAF	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																				4.7																								
加拿大	CAN	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
中歐和波羅的海	CEB	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
瑞士	CHE	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
海峡群岛	CHI	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
智利	CHL	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
中国	CHN	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
科特迪瓦	CIV	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																			4.4					4.5													4.5							
喀麦隆	CMR	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																5.2							4.3						4.5							4.5								
刚果（金）	COD	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																5.6							5.7					
刚果（布）	COG	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																														4.4							4.8							
哥伦比亚	COL	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																											2.1				2.1					2.2					1.8					1.7					1.6					1.6				
科摩罗	COM	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																					3.7																3.8							
佛得角	CPV	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																							1.4																					
哥斯达黎加	CRI	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
加勒比小国	CSS	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
古巴	CUB	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
库拉索	CUW	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
开曼群岛	CYM	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
塞浦路斯	CYP	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
捷克共和国	CZE	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
德国	DEU	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
吉布提	DJI	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
多米尼克	DMA	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
丹麦	DNK	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
多米尼加共和国	DOM	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																											2.6					2.6					2.5			2			2.3					1.9						2						
阿尔及利亚	DZA	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
东亚与太平洋地区（不包括高收入）	EAP	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
早人口紅利	EAR	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																									2.335301203														2.10134245					
东亚与太平洋地区	EAS	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
欧洲与中亚地区（不包括高收入）	ECA	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
欧洲与中亚地区	ECS	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
厄瓜多尔	ECU	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																												2.8												2.5					2.5															
阿拉伯埃及共和国	EGY	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																													3				2.7			2.6					2.9			2.5		2.3			2.4						2.8					
欧洲货币联盟	EMU	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
厄立特里亚	ERI	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																				5.7							4.4																	
西班牙	ESP	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
爱沙尼亚	EST	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
埃塞俄比亚	ETH	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																									4.7					4						3.8					3.6			
欧洲联盟	EUU	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
脆弱和受衝突影響的情況下	FCS	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																							4.136759341					
芬兰	FIN	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
斐济	FJI	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
法国	FRA	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
法罗群岛	FRO	意愿生育率（每名妇女的生育次数）	SP.DYN.WFRT																																																												
