Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
阿鲁巴	ABW	最高10% 占有的收入份额	SI.DST.10TH.10																																																												
阿富汗	AFG	最高10% 占有的收入份额	SI.DST.10TH.10																																																												
安哥拉	AGO	最高10% 占有的收入份额	SI.DST.10TH.10																																									40.2								32.3											
阿尔巴尼亚	ALB	最高10% 占有的收入份额	SI.DST.10TH.10																																					21.2						25.4			24.3			24.5				22.9							
安道尔共和国	AND	最高10% 占有的收入份额	SI.DST.10TH.10																																																												
阿拉伯联盟国家	ARB	最高10% 占有的收入份额	SI.DST.10TH.10																																																												
阿拉伯联合酋长国	ARE	最高10% 占有的收入份额	SI.DST.10TH.10																																																												
阿根廷	ARG	最高10% 占有的收入份额	SI.DST.10TH.10																					30.2						32.4	34.4				36.6	34.3	33.2	34.4	37	36.9	36.4	38	37	37.7	39.5	40.5	37.8	35.3	35	33.9	33.8	32.5	31.4	32	31	29.7	29.4	29.9		30.3	29.7		
亚美尼亚	ARM	最高10% 占有的收入份额	SI.DST.10TH.10																																								29.6		29.1	29	28.2	31.7	30.8	24.5	25.1	23.7	22.9	25	24	24.5	24.7	25.7	26.7	25.3	28.4		
美属萨摩亚	ASM	最高10% 占有的收入份额	SI.DST.10TH.10																																																												
安提瓜和巴布达	ATG	最高10% 占有的收入份额	SI.DST.10TH.10																																																												
澳大利亚	AUS	最高10% 占有的收入份额	SI.DST.10TH.10																						23.3				24.3				24.7						24.6						25.1		25.1	25.4				27.4		26.4				27.8					
奥地利	AUT	最高10% 占有的收入份额	SI.DST.10TH.10																																												23.4	23.8	22.8	23.7	23.8	24.1	24.7	23.5	23.7	23.4	24.2	24	23.8				
阿塞拜疆	AZE	最高10% 占有的收入份额	SI.DST.10TH.10																																				26.8						29.5	23.2	23.6	24.4	24.2														
布隆迪	BDI	最高10% 占有的收入份额	SI.DST.10TH.10																																	26.6						32.7								28							31						
比利时	BEL	最高10% 占有的收入份额	SI.DST.10TH.10																																												22.2	25.1	23.9	22.4	23.5	22.7	22.7	22.7	22.3	21.9	21.8	22.4	22.2				
贝宁	BEN	最高10% 占有的收入份额	SI.DST.10TH.10																																												31.1								34.5				37.6				
布基纳法索	BFA	最高10% 占有的收入份额	SI.DST.10TH.10																																			39.5				42.7					33.8						32					29.6					
孟加拉国	BGD	最高10% 占有的收入份额	SI.DST.10TH.10																								21.9		23.4			24.6			23.3				28.1					27.9					28					26.9						26.8			
保加利亚	BGR	最高10% 占有的收入份额	SI.DST.10TH.10																																	24.7														26.5	27.9	25.6	25.7	26.9	26	27.4	27.5	28.8					
巴林	BHR	最高10% 占有的收入份额	SI.DST.10TH.10																																																												
巴哈马	BHS	最高10% 占有的收入份额	SI.DST.10TH.10																																																												
波斯尼亚和黑塞哥维那	BIH	最高10% 占有的收入份额	SI.DST.10TH.10																																										24.8			26.4			25.1				25.1								
白俄罗斯	BLR	最高10% 占有的收入份额	SI.DST.10TH.10																																							24.9	24	24	24	24	22.6	21.4	21.8	22.4	23.6	22.3	22.6	22.9	21.9	21.8	22.1	22.6	21.2	21.3	21.3		
伯利兹	BLZ	最高10% 占有的收入份额	SI.DST.10TH.10																																		51.1	52.5		46.5	50.3	43.7	42.4																				
百慕大	BMU	最高10% 占有的收入份额	SI.DST.10TH.10																																																												
玻利维亚	BOL	最高10% 占有的收入份额	SI.DST.10TH.10																															31.7							45.4		42.6	47.8	44.2	46.6		43.9	45.3	43.6	41.8	38.5	36.9		33.7	33.7	35.2	36	34.8	32.1	31.7		
巴西	BRA	最高10% 占有的收入份额	SI.DST.10TH.10																						45.9	46.2	46.8	46.5	42.5	46.6	47.4	49.2	51.1	48.1		39.7	48.4		47.5	47.4	47.4	47.6	47		46.1	46.1	45.4	44.5	44.6	44.1	43.2	42.5	42.2		41.7	41.7	41.7	40.6	40.4	42.4	41.9		
