Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
阿鲁巴	ABW	森林面积（平方公里）	AG.LND.FRST.K2																															4.199999869	4.199999869	4.199999869	4.199999869	4.199999869	4.199999869	4.199999869	4.199999869	4.199999869	4.199999869	4.199999869	4.199999869	4.199999869	4.199999869	4.199999869	4.199999869	4.199999869	4.199999869	4.199999869	4.199999869	4.199999869	4.199999869	4.199999869	4.199999869	4.199999869	4.199999869	4.199999869			
阿富汗	AFG	森林面积（平方公里）	AG.LND.FRST.K2																															13500	13500	13500	13500	13500	13500	13500	13500	13500	13500	13500	13500	13500	13500	13500	13500	13500	13500	13500	13500	13500	13500	13500	13500	13500	13500	13500			
安哥拉	AGO	森林面积（平方公里）	AG.LND.FRST.K2																															609760	608511.9922	607263.9844	606016.0156	604768.0078	603520	602271.9922	601023.9844	599776.0156	598528.0078	597280	596031.9922	594783.9844	593536.0156	592288.0078	591040	589791.9922	588543.9844	587296.0156	586048.0078	584800	583551.9922	582303.9844	581056.0156	579808.0078	578560	577311.9922			
阿尔巴尼亚	ALB	森林面积（平方公里）	AG.LND.FRST.K2																															7887.999878	7868.499756	7849.000244	7829.500122	7810	7790.499878	7770.999756	7751.500244	7732.000122	7712.5	7692.999878	7719.199829	7745.39978	7771.599731	7797.800293	7824.000244	7811.799927	7799.60022	7787.399902	7775.200195	7762.999878	7753.400269	7743.800049	7734.199829	7724.60022	7715	7705.39978			
安道尔共和国	AND	森林面积（平方公里）	AG.LND.FRST.K2																															160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160			
阿拉伯联盟国家	ARB	森林面积（平方公里）	AG.LND.FRST.K2																															194668.5	194099.9972	193531.599	192963.101	192394.7028	191826.2	191257.7972	190689.299	190120.901	189552.5028	188984	189100.8031	189217.5014	189334.1986	189450.8969	189567.7	190278.6041	190989.5985	191700.5015	192411.4958	193122.4998	391506.9977	389071.3957	386635.7967	384200.195	381764.5946	379328.9942			
阿拉伯联合酋长国	ARE	森林面积（平方公里）	AG.LND.FRST.K2																															2450	2515	2580	2645	2710	2775	2840	2905	2970	3035	3100	3103.999939	3107.999878	3112.000122	3116.000061	3120	3130.599976	3141.199951	3151.799927	3162.399902	3172.999878	3183.599854	3194.200134	3204.80011	3215.400085	3226.000061	3236.600037			
阿根廷	ARG	森林面积（平方公里）	AG.LND.FRST.K2																															347930	344996.9922	342063.9844	339131.0156	336198.0078	333265	330331.9922	327399.0039	324465.9961	321533.0078	318600	315251.9922	311904.0039	308555.9961	305208.0078	301860	298680	295500	292320	289140	285960	282991.9922	280024.0039	277055.9961	274088.0078	271120	268151.9922			
亚美尼亚	ARM	森林面积（平方公里）	AG.LND.FRST.K2																															3350	3346	3346.000061	3343.999939	3342.000122	3340	3337.999878	3336.000061	3333.999939	3332.000122	3330	3327.999878	3326.000061	3323.999939	3322.000122	3320	3317.999878	3316.000061	3313.999939	3312.000122	3310	3312.000122	3313.999939	3316.000061	3317.999878	3320	3322.000122			
美属萨摩亚	ASM	森林面积（平方公里）	AG.LND.FRST.K2																															183.8999939	183.5000038	183.1999969	182.9000092	182.5	182.1999931	181.9000053	181.4999962	181.2000084	180.7999992	180.4999924	180.2000046	179.7999954	179.5000076	179.0999985	178.7999916	178.5000038	178.0999947	177.8000069	177.5	177.0999908	176.8000031	176.3999939	176.1000061	175.7999992	175.4000092	175			
