name,value,date
阿富汗,0.34,2002
阿富汗,0.53,2004
阿富汗,0.68,2006
阿富汗,1.05,2008
阿富汗,1.15,2010
阿富汗,1.28,2012
阿富汗,1.07,2014
阿富汗,0.7,2016
安哥拉,0.38,1998
安哥拉,0.3,2000
安哥拉,0.19,2002
安哥拉,0.39,2004
安哥拉,0.5,2006
安哥拉,0.53,2008
安哥拉,0.65,2010
安哥拉,0.63,2012
安哥拉,0.76,2014
安哥拉,0.97,2016
阿尔巴尼亚,0.86,1998
阿尔巴尼亚,0.57,2000
阿尔巴尼亚,0.8,2002
阿尔巴尼亚,1.23,2004
阿尔巴尼亚,1.44,2006
阿尔巴尼亚,1.36,2008
阿尔巴尼亚,1.46,2010
阿尔巴尼亚,1.81,2012
阿尔巴尼亚,1.76,2014
阿尔巴尼亚,1.36,2016
安道尔共和国,1.24,2008
安道尔共和国,1.49,2010
安道尔共和国,1.67,2012
安道尔共和国,1.51,2014
阿拉伯联合酋长国,0.23,1998
阿拉伯联合酋长国,0.25,2000
阿拉伯联合酋长国,0.29,2002
阿拉伯联合酋长国,0.28,2004
阿拉伯联合酋长国,0.37,2006
阿拉伯联合酋长国,0.45,2008
阿拉伯联合酋长国,0.47,2010
阿拉伯联合酋长国,0.47,2012
阿拉伯联合酋长国,0.47,2014
阿拉伯联合酋长国,0.49,2016
阿根廷,0.79,1992
阿根廷,0.6,1995
阿根廷,0.94,1998
阿根廷,1.07,2000
阿根廷,0.63,2002
阿根廷,0.63,2004
阿根廷,0.62,2006
阿根廷,0.78,2008
阿根廷,0.96,2010
阿根廷,1.46,2012
阿根廷,1.52,2014
阿根廷,1.1,2016
亚美尼亚,0.49,1998
亚美尼亚,0.55,2000
亚美尼亚,0.42,2002
亚美尼亚,0.68,2004
亚美尼亚,0.96,2006
亚美尼亚,1.08,2008
亚美尼亚,1.08,2010
亚美尼亚,1.25,2012
亚美尼亚,1.3,2014
亚美尼亚,0.77,2016
安提瓜和巴布达,0.56,2000
安提瓜和巴布达,0.68,2004
安提瓜和巴布达,0.97,2006
安提瓜和巴布达,1.11,2008
安提瓜和巴布达,0.99,2010
澳大利亚,0.46,1998
澳大利亚,0.57,2000
澳大利亚,0.5,2002
澳大利亚,0.85,2004
澳大利亚,0.93,2006
澳大利亚,0.74,2008
澳大利亚,1.27,2010
澳大利亚,1.39,2012
澳大利亚,1.23,2014
澳大利亚,0.93,2016
奥地利,1.15,1995
奥地利,1.04,1998
奥地利,0.82,2000
奥地利,0.84,2002
奥地利,1.32,2004
奥地利,1.32,2006
奥地利,1.37,2008
奥地利,1.63,2010
奥地利,1.81,2012
奥地利,1.6,2014
奥地利,1.2,2016
阿塞拜疆,0.46,1998
阿塞拜疆,0.39,2000
阿塞拜疆,0.37,2002
阿塞拜疆,0.41,2004
阿塞拜疆,0.46,2006
阿塞拜疆,0.74,2008
阿塞拜疆,0.75,2010
阿塞拜疆,0.76,2012
阿塞拜疆,1.21,2014
阿塞拜疆,0.56,2016
布隆迪,0.63,1991
布隆迪,0.59,1992
布隆迪,0.52,1995
布隆迪,0.72,1998
布隆迪,1.01,2000
布隆迪,0.58,2002
布隆迪,1.04,2004
布隆迪,1.2,2006
布隆迪,1.39,2008
布隆迪,1.43,2010
布隆迪,1.47,2012
布隆迪,1.53,2014
布隆迪,1.21,2016
比利时,1.18,1995
比利时,1.12,1998
比利时,0.96,2000
比利时,1.04,2002
比利时,1.5,2004
比利时,1.63,2006
比利时,1.5,2008
比利时,1.87,2010
比利时,2.09,2012
比利时,1.9,2014
比利时,1.43,2016
贝宁,0.63,1991
贝宁,0.62,1992
贝宁,0.36,1995
贝宁,0.39,1998
贝宁,0.48,2000
贝宁,0.54,2002
贝宁,0.77,2004
贝宁,0.81,2006
贝宁,1.03,2008
贝宁,1.04,2010
贝宁,1.24,2012
贝宁,1.03,2014
贝宁,0.72,2016
布基纳法索,1.03,1991
布基纳法索,1,1992
布基纳法索,0.81,1995
布基纳法索,0.68,1998
布基纳法索,0.68,2000
布基纳法索,0.83,2002
布基纳法索,1.18,2004
布基纳法索,1.15,2006
布基纳法索,1.38,2008
布基纳法索,1.44,2010
布基纳法索,1.43,2012
布基纳法索,1.4,2014
布基纳法索,0.98,2016
孟加拉国,0.36,1995
孟加拉国,0.47,1998
孟加拉国,0.46,2000
孟加拉国,0.52,2002
孟加拉国,0.59,2004
孟加拉国,0.79,2006
孟加拉国,1.17,2008
孟加拉国,1.09,2010
孟加拉国,1.15,2012
孟加拉国,1.3,2014
孟加拉国,1.12,2016
保加利亚,0.46,1995
保加利亚,0.66,1998
保加利亚,0.7,2000
保加利亚,0.68,2002
保加利亚,0.92,2004
保加利亚,1.05,2006
保加利亚,1.28,2008
保加利亚,1.51,2010
保加利亚,1.69,2012
保加利亚,1.49,2014
保加利亚,1.11,2016
巴林,0.26,1998
巴林,0.27,2000
巴林,0.27,2002
巴林,0.27,2004
巴林,0.21,2006
巴林,0.21,2008
巴林,0.21,2010
巴林,0.27,2012
巴林,0.43,2016
