Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
阿鲁巴	ABW	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																																												
阿富汗	AFG	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																											0.34		0.53		0.68		1.05		1.15		1.28		1.07		0.7			
安哥拉	AGO	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																							0.38		0.3		0.19		0.39		0.5		0.53		0.65		0.63		0.76		0.97			
阿尔巴尼亚	ALB	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																							0.86		0.57		0.8		1.23		1.44		1.36		1.46		1.81		1.76		1.36			
安道尔共和国	AND	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																																	1.24		1.49		1.67		1.51					
阿拉伯联盟国家	ARB	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																							0.31		0.28		0.295		0.32		0.37		0.49		0.55		0.58		0.825		0.67			
阿拉伯联合酋长国	ARE	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																							0.23		0.25		0.29		0.28		0.37		0.45		0.47		0.47		0.47		0.49			
阿根廷	ARG	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																	0.79			0.6			0.94		1.07		0.63		0.63		0.62		0.78		0.96		1.46		1.52		1.1			
亚美尼亚	ARM	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																							0.49		0.55		0.42		0.68		0.96		1.08		1.08		1.25		1.3		0.77			
美属萨摩亚	ASM	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																																												
安提瓜和巴布达	ATG	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																									0.56				0.68		0.97		1.11		0.99									
澳大利亚	AUS	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																							0.46		0.57		0.5		0.85		0.93		0.74		1.27		1.39		1.23		0.93			
奥地利	AUT	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																				1.15			1.04		0.82		0.84		1.32		1.32		1.37		1.63		1.81		1.6		1.2			
阿塞拜疆	AZE	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																							0.46		0.39		0.37		0.41		0.46		0.74		0.75		0.76		1.21		0.56			
布隆迪	BDI	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																0.63	0.59			0.52			0.72		1.01		0.58		1.04		1.2		1.39		1.43		1.47		1.53		1.21			
比利时	BEL	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																				1.18			1.12		0.96		1.04		1.5		1.63		1.5		1.87		2.09		1.9		1.43			
贝宁	BEN	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																0.63	0.62			0.36			0.39		0.48		0.54		0.77		0.81		1.03		1.04		1.24		1.03		0.72			
布基纳法索	BFA	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																1.03	1			0.81			0.68		0.68		0.83		1.18		1.15		1.38		1.44		1.43		1.4		0.98			
孟加拉国	BGD	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																				0.36			0.47		0.46		0.52		0.59		0.79		1.17		1.09		1.15		1.3		1.12			
保加利亚	BGR	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																				0.46			0.66		0.7		0.68		0.92		1.05		1.28		1.51		1.69		1.49		1.11			
巴林	BHR	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																							0.26		0.27		0.27		0.27		0.21		0.21		0.21		0.27				0.43			
巴哈马	BHS	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																																							1.05		0.92			
