Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
阿鲁巴	ABW	科技期刊文章	IP.JRN.ARTC.SC																																																												
阿富汗	AFG	科技期刊文章	IP.JRN.ARTC.SC																																												7.3	5.8	9.4	10.2	14.5	12.5	23.3	33.9	42.7	35	27.3	33.3	23.5	80.4			
安哥拉	AGO	科技期刊文章	IP.JRN.ARTC.SC																																												4.3	8.2	9.9	13.3	9.9	9.9	14	15.2	17.8	22.4	24.1	35.7	32.9	39.1			
阿尔巴尼亚	ALB	科技期刊文章	IP.JRN.ARTC.SC																																												23.9	22	26.2	32.6	40.3	51.9	76.8	140.8	165.2	214.1	359.5	360.7	269	191.4			
安道尔共和国	AND	科技期刊文章	IP.JRN.ARTC.SC																																												4.1	1.3	4.8	5	6.2	1.7	2.6	1.2	1	3.6	5.9	5.4	7.4	7.9			
阿拉伯联盟国家	ARB	科技期刊文章	IP.JRN.ARTC.SC																																												10820.88702	11847.24527	12852.87354	14651.51962	16204.69818	18403.39161	21934.55407	24677.39689	28301.16011	32155.51542	36035.75041	38762.21624	41224.22398	44733.95482			
阿拉伯联合酋长国	ARE	科技期刊文章	IP.JRN.ARTC.SC																																												522.6	537.8	698.1	810.4	756.1	917.8	1024.7	1229.3	1427.8	1645.5	1775.6	1819	2261.6	2180.9			
阿根廷	ARG	科技期刊文章	IP.JRN.ARTC.SC																																												4588.4	4700.7	5009.2	5599.8	5755	6356.5	7017.4	7472.5	7961.9	8205.1	8268.5	8955.3	8719.7	8648.2			
亚美尼亚	ARM	科技期刊文章	IP.JRN.ARTC.SC																																												311.9	342.2	390	360.3	400.5	394.5	446.5	494.3	618.6	550.5	552	559.1	531.4	521			
美属萨摩亚	ASM	科技期刊文章	IP.JRN.ARTC.SC																																																												
安提瓜和巴布达	ATG	科技期刊文章	IP.JRN.ARTC.SC																																												1.8	0.7	1.8	1.6	4.3	6.3	3.8	2.2	0.8	2.5	1.9	2.5	3.9	7.8			
