name,type,value,date
阿鲁巴,ABW,-4323,1962
阿鲁巴,ABW,-4275,1967
阿鲁巴,ABW,-3537,1972
阿鲁巴,ABW,-5470,1977
阿鲁巴,ABW,-1921,1982
阿鲁巴,ABW,-5194,1987
阿鲁巴,ABW,14218,1992
阿鲁巴,ABW,6926,1997
阿鲁巴,ABW,6263,2002
阿鲁巴,ABW,-441,2007
阿鲁巴,ABW,1253,2012
阿鲁巴,ABW,1004,2017
阿富汗,AFG,-20000,1962
阿富汗,AFG,-20000,1967
阿富汗,AFG,-20000,1972
阿富汗,AFG,-1153959,1977
阿富汗,AFG,-3345095,1982
阿富汗,AFG,-1525351,1987
阿富汗,AFG,3076383,1992
阿富汗,AFG,-867540,1997
阿富汗,AFG,744193,2002
阿富汗,AFG,-1046361,2007
阿富汗,AFG,521769,2012
阿富汗,AFG,-314602,2017
安哥拉,AGO,-296717,1962
安哥拉,AGO,-587286,1967
安哥拉,AGO,199800,1972
安哥拉,AGO,199800,1977
安哥拉,AGO,234148,1982
安哥拉,AGO,188491,1987
安哥拉,AGO,142812,1992
安哥拉,AGO,199800,1997
安哥拉,AGO,261100,2002
安哥拉,AGO,357301,2007
安哥拉,AGO,166267,2012
安哥拉,AGO,32066,2017
阿尔巴尼亚,ALB,-99,1962
阿尔巴尼亚,ALB,-99,1967
阿尔巴尼亚,ALB,-99,1972
阿尔巴尼亚,ALB,-99,1977
阿尔巴尼亚,ALB,-99,1982
阿尔巴尼亚,ALB,-99,1987
阿尔巴尼亚,ALB,-443212,1992
阿尔巴尼亚,ALB,-179606,1997
阿尔巴尼亚,ALB,-176774,2002
阿尔巴尼亚,ALB,-217358,2007
阿尔巴尼亚,ALB,-136590,2012
阿尔巴尼亚,ALB,-69998,2017
阿拉伯联合酋长国,ARE,37882,1962
阿拉伯联合酋长国,ARE,53823,1967
阿拉伯联合酋长国,ARE,260488,1972
阿拉伯联合酋长国,ARE,372430,1977
阿拉伯联合酋长国,ARE,184159,1982
阿拉伯联合酋长国,ARE,256638,1987
阿拉伯联合酋长国,ARE,368126,1992
阿拉伯联合酋长国,ARE,498394,1997
阿拉伯联合酋长国,ARE,1189616,2002
阿拉伯联合酋长国,ARE,3592436,2007
阿拉伯联合酋长国,ARE,270000,2012
阿拉伯联合酋长国,ARE,200000,2017
阿根廷,ARG,122000,1962
阿根廷,ARG,130000,1967
阿根廷,ARG,142000,1972
阿根廷,ARG,-230000,1977
阿根廷,ARG,140000,1982
阿根廷,ARG,160000,1987
阿根廷,ARG,-105000,1992
阿根廷,ARG,-128000,1997
阿根廷,ARG,-125000,2002
阿根廷,ARG,-120000,2007
阿根廷,ARG,30000,2012
阿根廷,ARG,24000,2017
亚美尼亚,ARM,70335,1962
亚美尼亚,ARM,103399,1967
亚美尼亚,ARM,86404,1972
亚美尼亚,ARM,17214,1977
亚美尼亚,ARM,-51230,1982
亚美尼亚,ARM,-67528,1987
亚美尼亚,ARM,-496288,1992
亚美尼亚,ARM,-223873,1997
亚美尼亚,ARM,-160521,2002
亚美尼亚,ARM,-183361,2007
亚美尼亚,ARM,-30535,2012
亚美尼亚,ARM,-24989,2017
安提瓜和巴布达,ATG,-1880,1962
安提瓜和巴布达,ATG,-1202,1967
安提瓜和巴布达,ATG,-7018,1972
安提瓜和巴布达,ATG,-4428,1977
安提瓜和巴布达,ATG,-3763,1982
安提瓜和巴布达,ATG,-2890,1987
安提瓜和巴布达,ATG,2231,1992
安提瓜和巴布达,ATG,2469,1997
安提瓜和巴布达,ATG,252,2002
安提瓜和巴布达,ATG,1887,2007
安提瓜和巴布达,ATG,943,2012
安提瓜和巴布达,ATG,0,2017
澳大利亚,AUS,384343,1962
澳大利亚,AUS,806193,1967
澳大利亚,AUS,259531,1972
澳大利亚,AUS,235744,1977
澳大利亚,AUS,453572,1982
澳大利亚,AUS,654209,1987
澳大利亚,AUS,351078,1992
澳大利亚,AUS,388419,1997
澳大利亚,AUS,589282,2002
澳大利亚,AUS,1210802,2007
澳大利亚,AUS,989375,2012
澳大利亚,AUS,791229,2017
奥地利,AUT,15996,1962
奥地利,AUT,50401,1967
奥地利,AUT,82001,1972
奥地利,AUT,5502,1977
奥地利,AUT,18002,1982
奥地利,AUT,110999,1987
奥地利,AUT,227841,1992
奥地利,AUT,65082,1997
奥地利,AUT,178117,2002
奥地利,AUT,153763,2007
奥地利,AUT,267172,2012
奥地利,AUT,324998,2017
阿塞拜疆,AZE,0,1962
阿塞拜疆,AZE,-40000,1967
阿塞拜疆,AZE,-50466,1972
阿塞拜疆,AZE,-50466,1977
阿塞拜疆,AZE,-101568,1982
阿塞拜疆,AZE,-161568,1987
阿塞拜疆,AZE,-115116,1992
阿塞拜疆,AZE,-111849,1997
阿塞拜疆,AZE,36523,2002
阿塞拜疆,AZE,53579,2007
阿塞拜疆,AZE,8499,2012
阿塞拜疆,AZE,6002,2017
布隆迪,BDI,-84989,1962
布隆迪,BDI,-57900,1967
布隆迪,BDI,-266496,1972
布隆迪,BDI,-150290,1977
布隆迪,BDI,-139146,1982
布隆迪,BDI,-180004,1987
布隆迪,BDI,-320001,1992
布隆迪,BDI,-455304,1997
布隆迪,BDI,-24721,2002
布隆迪,BDI,30004,2007
布隆迪,BDI,-70001,2012
布隆迪,BDI,10003,2017
比利时,BEL,38304,1962
比利时,BEL,47288,1967
比利时,BEL,70980,1972
比利时,BEL,73523,1977
比利时,BEL,18478,1982
比利时,BEL,42556,1987
比利时,BEL,106947,1992
比利时,BEL,50870,1997
比利时,BEL,219560,2002
比利时,BEL,294270,2007
比利时,BEL,258672,2012
比利时,BEL,240000,2017
贝宁,BEN,-24295,1962
贝宁,BEN,-23742,1967
贝宁,BEN,-24845,1972
贝宁,BEN,-19393,1977
贝宁,BEN,-10848,1982
贝宁,BEN,-8723,1987
贝宁,BEN,68259,1992
贝宁,BEN,-2851,1997
贝宁,BEN,25005,2002
贝宁,BEN,-48776,2007
贝宁,BEN,-42268,2012
贝宁,BEN,-10000,2017
布基纳法索,BFA,-144723,1962
布基纳法索,BFA,-144723,1967
布基纳法索,BFA,-170263,1972
布基纳法索,BFA,-217400,1977
布基纳法索,BFA,-217400,1982
布基纳法索,BFA,-183699,1987
布基纳法索,BFA,-150001,1992
布基纳法索,BFA,-137499,1997
布基纳法索,BFA,-125000,2002
布基纳法索,BFA,-125000,2007
布基纳法索,BFA,-125000,2012
布基纳法索,BFA,-125000,2017
孟加拉国,BGD,-142378,1962
孟加拉国,BGD,-161822,1967
孟加拉国,BGD,-3045287,1972
孟加拉国,BGD,-1137344,1977
孟加拉国,BGD,-793826,1982
孟加拉国,BGD,-219363,1987
孟加拉国,BGD,-813794,1992
孟加拉国,BGD,-719899,1997
孟加拉国,BGD,-1492537,2002
孟加拉国,BGD,-3254778,2007
孟加拉国,BGD,-2306839,2012
孟加拉国,BGD,-1847503,2017
保加利亚,BGR,-1437,1962
保加利亚,BGR,-6423,1967
保加利亚,BGR,-43396,1972
保加利亚,BGR,-94868,1977
保加利亚,BGR,-22346,1982
保加利亚,BGR,-184143,1987
保加利亚,BGR,-356464,1992
保加利亚,BGR,-133824,1997
保加利亚,BGR,-85500,2002
