Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
阿鲁巴	ABW	耗电量（人均千瓦时）	EG.USE.ELEC.KH.PC																																																												
阿富汗	AFG	耗电量（人均千瓦时）	EG.USE.ELEC.KH.PC																																																												
安哥拉	AGO	耗电量（人均千瓦时）	EG.USE.ELEC.KH.PC												92.04113974	100.5032846	113.5915525	136.3626952	139.3792711	60.30626516	58.27122934	56.34918628	58.57484183	60.66208712	58.56179183	60.31531506	63.26729105	52.21142423	60.63041376	58.52650228	56.78602334	55.20394288	53.60209108	53.1717991	54.45386488	53.48664169	52.00745328	50.65260775	49.26424178	51.10855923	69.32691034	73.30919599	71.91084769	75.26467824	82.61657065	86.01884412	95.85310338	87.535308	109.29523	144.7153512	133.2672387	172.3849139	189.2576538	206.4544105	207.0133429	219.2534303	280.2145467	312.228825					
阿尔巴尼亚	ALB	耗电量（人均千瓦时）	EG.USE.ELEC.KH.PC												532.0284315	568.4032016	593.4467457	591.0326434	739.3450933	908.6745473	1067.814156	1098.483166	1065.767398	1142.965355	1123.968106	1096.873229	1070.690164	1018.100288	796.3539738	1420.614795	1161.951677	1005.93953	1021.3935	552.2521848	418.453589	453.6440739	536.3638251	596.4079593	663.7839954	904.3466403	694.6648028	734.8499135	1414.703784	1449.647413	1351.230796	1578.165919	1469.264539	1797.525487	1722.07285	1218.360146	1213.124369	1617.744156	1835.684072	1943.343354	2205.70392	2118.327776	2533.252829	2309.366503					
安道尔共和国	AND	耗电量（人均千瓦时）	EG.USE.ELEC.KH.PC																																																												
阿拉伯联盟国家	ARB	耗电量（人均千瓦时）	EG.USE.ELEC.KH.PC												196.2089268	210.9339196	230.2258457	254.6323242	282.10611	325.2671549	369.2820702	426.7916432	515.1983131	577.5821289	624.8345002	714.7577344	770.9902822	856.7551338	883.5880536	961.2411195	999.60505	1036.430768	1056.515408	1072.669053	1037.596699	1070.859939	1125.036482	1151.945927	1258.855616	1296.559664	1340.528132	1433.163852	1484.222672	1517.005675	1580.093902	1648.29283	1718.913222	1765.840771	1840.432063	1940.406475	1995.377548	2061.82274	2119.801726	2296.780903	2332.708771	2371.597009	2427.835367	2501.479657					
阿拉伯联合酋长国	ARE	耗电量（人均千瓦时）	EG.USE.ELEC.KH.PC												681.1522646	1314.302634	1700.352741	1876.132472	2321.717451	2829.499531	3737.02648	4190.265084	4982.028422	5752.769225	6118.857205	7117.064988	7677.097893	7905.895882	8169.590181	8239.190254	8282.166183	8482.139016	8232.691905	8500.726305	8151.137262	8284.414516	9099.27989	9414.287489	9402.962208	9512.722094	9925.648415	11232.34848	12219.0103	12314.05122	12133.63898	12502.66976	12366.06705	11958.99296	12279.91217	11693.38969	11451.91363	11294.18814	10618.80129	10609.95641	10287.05645	10416.01488	10724.50154	11088.35029					
阿根廷	ARG	耗电量（人均千瓦时）	EG.USE.ELEC.KH.PC												874.4593523	925.3169217	962.2661254	993.2330549	1011.993609	1032.48922	1081.751227	1093.416674	1217.17288	1243.631466	1197.592746	1208.666307	1259.1737	1300.799644	1288.874782	1330.370627	1413.84727	1452.305853	1320.356572	1303.977899	1347.592128	1410.377292	1496.904146	1576.76706	1648.895133	1728.121026	1848.001997	1967.254444	2033.771811	2088.80814	2120.579943	2014.476557	2180.326817	2293.309369	2408.432525	2374.097471	2455.656576	2772.843222	2730.123232	2877.652653	2929.075029	3000.603523	2967.376558	3074.702071					
亚美尼亚	ARM	耗电量（人均千瓦时）	EG.USE.ELEC.KH.PC																															2722.593114	2689.673627	1962.636992	1195.025554	1045.47751	1050.243865	1219.927524	1509.053844	1308.591055	1307.533582	1297.567005	1269.22231	1236.330652	1320.44062	1440.32099	1521.499737	1639.789244	1773.159682	1669.407742	1661.304418	1726.259758	1807.033316	1892.013429	1931.264115	1961.610395					
美属萨摩亚	ASM	耗电量（人均千瓦时）	EG.USE.ELEC.KH.PC																																																												
安提瓜和巴布达	ATG	耗电量（人均千瓦时）	EG.USE.ELEC.KH.PC																																																												
澳大利亚	AUS	耗电量（人均千瓦时）	EG.USE.ELEC.KH.PC	1825.62565	1947.152533	2012.660585	2211.689498	2417.211427	2625.219529	2765.084542	2969.48894	3102.006828	3329.609394	3609.978412	3751.642576	3880.928891	4230.343797	4578.882169	4781.616641	4901.589111	5251.197858	5416.283605	5665.977677	5915.260005	6153.346285	6391.290025	6366.126619	6699.562532	7007.61518	7309.094541	7525.685721	7800.534714	8129.103625	8527.228085	8522.159222	8550.328665	8701.760344	8812.489499	8994.35591	9108.29556	9291.083869	9783.442895	10036.45778	10193.91218	10636.37769	10813.12273	10434.87439	10554.81582	10458.45019	10490.48454	10972.89174	10749.11055	10791.5931	10726.92818	10627.29387	10407.74031	10220.8873	10071.39898					
奥地利	AUT	耗电量（人均千瓦时）	EG.USE.ELEC.KH.PC	1814.676017	1882.223711	2006.770396	2124.359184	2232.896504	2305.357708	2375.012735	2448.692544	2608.624238	2814.654642	3019.116159	3213.126836	3404.469208	3620.56204	3769.029711	3734.445473	4068.190905	4137.714163	4335.053929	4541.537932	4684.45776	4697.365866	4730.570071	4827.484062	5070.995793	5280.77716	5321.412974	5536.144154	5716.834247	5896.135568	6111.47652	6347.220096	6227.498049	6137.269463	6205.804904	6344.393087	6607.222977	6620.447862	6706.708677	6972.189816	7076.269483	7333.231953	7427.656445	7695.080037	7808.157792	7977.681597	8244.401952	8207.474739	8233.014833	7944.796096	8382.711154	8425.167753	8548.882199	8509.61158	8355.841952					
阿塞拜疆	AZE	耗电量（人均千瓦时）	EG.USE.ELEC.KH.PC																															2575.639056	2631.137395	2276.076944	2119.679787	1961.827037	1951.984385	1852.891923	1813.670143	1936.939214	2022.485985	2040.47909	2106.470066	1996.708252	2235.459856	2281.947872	2388.388734	2552.286214	2118.210528	2040.760435	1620.38742	1603.431374	1705.424633	2052.650965	2092.536521	2202.393918					
布隆迪	BDI	耗电量（人均千瓦时）	EG.USE.ELEC.KH.PC																																																												
比利时	BEL	耗电量（人均千瓦时）	EG.USE.ELEC.KH.PC	1576.338815	1627.51357	1753.143892	1880.993824	2062.994976	2163.960334	2255.188418	2357.58493	2596.177718	2830.593969	3031.521046	3217.045264	3612.355533	3941.603741	4134.390881	3887.477425	4247.40638	4404.824321	4623.389685	4906.085081	4893.885351	4910.953281	4904.070015	5043.975356	5285.543762	5502.668409	5617.419822	5876.962998	6057.062732	6205.76377	6380.31322	6655.414381	6850.663773	6881.072143	7176.240507	7379.737079	7527.688545	7701.612131	7913.05858	7944.129807	8247.677113	8267.187216	8311.892679	8411.900657	8576.223497	8509.997073	8683.671285	8614.679503	8521.49674	7903.955479	8393.949623	8028.798731	7988.524644	7989.671853	7709.123078					
贝宁	BEN	耗电量（人均千瓦时）	EG.USE.ELEC.KH.PC												10.75062186	11.82822655	18.62750608	16.94164419	18.06953094	19.41937271	21.26148156	46.25507032	24.87200589	27.7092892	31.93610266	17.56747054	36.63412583	32.47675687	33.42292078	31.10450979	30.8692131	36.1663498	33.81731513	34.95031431	36.70259961	38.82363996	39.11794114	39.37545282	41.82500621	44.46808053	47.91743047	44.8204208	51.92000478	58.11285283	61.46904228	68.26224876	64.6228902	70.32254435	73.78894982	75.08917296	79.718096	86.35239989	87.87318714	95.44246988	91.53530927	93.1212772	96.75560853	100.2251225					
布基纳法索	BFA	耗电量（人均千瓦时）	EG.USE.ELEC.KH.PC																																																												
